MATIG	Sober	Karig	Niet goed
RAKET	Vuurpijl	Missiel
BEAUTY	Pracht	Fraaiheid	Schone dame
COUNTY	District	Regio	Provincie
FUTURE	Toekomst	Termijn
GEWEER	Vuurwapen	Buks	Karabijn
KNOPEN	Strikken	Lussen
PUTTEN	Bronnen	Ontlenen	Halen uit
RINGEN	Cirkels	Sieraden	Juwelen
ROEIEN	Peddelen	Varen
STRONT	Drek	Poep	Kak
TIMING	Tijdstip	Juiste tijd
BEESTEN	Dieren	Stoeien	Ravotten
BREEDTE	Wijdte	Afmeting
OPKOMEN	Ontstaan	Rijzen	Pleiten
STORING	Defect	Panne	Hapering
CONDITIE	Fitheid	Toestand	Vereiste
CRUCIAAL	Kritiek	Vitaal	Bepalend
EDUCATIE	Onderwijs	Opvoeding	Scholing
INGRIJPEN	Handelen	Optreden
PASSEREN	Inhalen	Kruisen	Voorbij gaan
UPLOADEN	Plaatsen	Posten	Versturen
VERMAKEN	Amuseren	Boeien
AANZETTEN	Starten	Aansporen	Activeren
ATMOSFEER	Dampkring	Sfeer	Stemming
MATERIEEL	Fysiek	Tastbaar
MICROFOON	Mic	Voor geluid
VEROVEREN	Innemen	Bezetten	Winnen
VERZEKERD	Zeker	Gedekt
MINDERHEID	Fractie	Kleine groep
ROMANTISCH	Liefdevol	Verliefd
GENEESKUNDE	Medisch vak	Artsenij
GROOTMOEDER	Oma	Opoe
HUISVESTING	Behuizing	Verblijf
FOTOGRAFEREN	Kieken	Afbeelden
ALERT	Waakzaam	Oplettend	Scherp
ATLAS	Kaartboek	Titan	Nekwervel
FRAME	Geraamte	Lijst	Montuur
GROET	Saluut	Hallo
HALTE	Stop	Rustpunt
INVAL	Overval	Aanval	Ingeving
LOBBY	Hal	Foyer	Drukgroep
MAGIE	Hekserij	Toverij
MOTIE	Voorstel	Verzoek
MOTTO	Leus	Devies	Spreuk
SNOEP	Lekkers	Zoetwaar
TROEP	Rommel	Bende	Zooitje
UITEN	Zeggen	Verklaren
UZELF	Reflexief vnw	Zelf
GULDEN	Florijn	Gouden
IKZELF	Reflexief vnw	Zelf
KOORTS	Verhoging	Warmte
FORMAAT	Grootte	Afmeting	Omvang
GERAKEN	Belanden	Komen
JAZEKER	Absoluut	Uiteraard
MENIGTE	Massa	Drukte	Gewoel
NEIGING	Aanleg	Hang	Trek
ONJUIST	Fout	Verkeerd	Incorrect
OPENLIJK	Vrijuit	Ongeneerd
REGEREN	Heersen	Besturen
UNIFORM	Tenue	Eenvormig	Gelijk
VISSERIJ	Visvangst	Vistak
WAANZIN	Gekte	Dwaasheid
WERELDS	Aards	Seculier	Profaan
AFVALLEN	Slinken	Uitvallen
ALLROUND	Breed	Divers
ALVORENS	Voordat	Eer
BENJAMIN	Jongste	Kleinste
GEKLEURD	Bont	Getint	Kleurig
OPTIMAAL	Beste	Ideaal	Perfect
BOULEVARD	Promenade	Wandelweg
CEREMONIE	Ritueel	Viering
KLEINZOON	Telg	Nazaat
VERSLAAFD	Verknocht	Gehecht
BEGELEIDEN	Coachen	Bijstaan	Leiden
OPSTELLING	Formatie	Houding
ACHTERSTAND	Verschil	Tekort
NATUURKUNDE	Fysica	Fysisch vak
PARTICULIER	Privé	Eigen
CONCENTREREN	Focussen	Bundelen
SOLIDARITEIT	Eendracht	Steun
FLASH	Flits	Fel licht
MENEN	Denken	Bedoelen	Vinden
PAARS	Violet	Lila
SALON	Zitkamer	Woonkamer
SHORT	Kort	Korte broek
ALSOOK	Tevens	Eveneens
BORREL	Drankje	Neut	Slokje
DIVERS	Bont	Gemengd
GEBAAR	Beweging	Teken	Wenk
GENADE	Clementie	Mededogen
HARTEN	Coeur	Kernen
INTENS	Hevig	Fel	Krachtig
SMAKEN	Aanslaan	Bevallen
STAREN	Turen	Gluren
UITING	Expressie	Blijk
WEKKEN	Prikkelen	Wakker maken
KLIKKEN	Verraden	Doorslaan
PLAKKEN	Lijmen	Kleven	Hangen
VEILING	Openbare verkoop	Afslag
CARNAVAL	Feest	Bont feest
OVERKANT	Gene zijde	Andere kant
SPORTIEF	Atletisch	Fair
VERWEZEN	Onthutst	Verdwaasd
AANHANGER	Fan	Volgeling	Wagentje
EVENWICHT	Balans	Harmonie
SCHAATSEN	IJzers	Glijden
EERLIJKHEID	Waarheid	Openheid
