ALFABET	Letters	ABC
BROEDER	Monnik	Pater
EENZAAM	Alleen	Verlaten	Solitair
HIERTOE	Daartoe	Tot dit doel	Zover
KRUIDEN	Specerij	Aroma
NEGENDE	9e	Na de 8e
REGENEN	Druppelen	Neerkomen
STAKING	Actie	Boycot
STAMMEN	Dateren	Ontstaan uit	Herkomst hebben
WAARDIG	Eervol	Fier	Deftig
WAARTOE	Vragend bw	Tot wat
BIOLOGIE	Natuurvak	Schoolvak
CHRISTEN	Gelovige	Gedoopte
FRAGMENT	Brokstuk	Stukje	Passage
IRRITANT	Vervelend	Ergerlijk
OPEREREN	Handelen	Snijden	Werken
VITAMINE	Bouwstof	C, D of E
AANSPRAAK	Recht	Beroep	Pretentie
BURGERLIJK	Civiel	Braaf	Alledaags
CONTAINER	Bak	Kist	Vat
GRONDSLAG	Basis	Fundament	Beginsel
HIERNAAST	Ernaast	Daarnaast
HOOFDDOEK	Sluier	Hijab
MEEWERKEN	Helpen	Bijdragen
VERTROUWD	Bekend	Gewend	Intiem
WEBWINKEL	Webshop	E-winkel
AANVOERDER	Leider	Kapitein	Voorman
BUITENKANT	Omhulsel	Schil	Oppervlak
PLAATSELIJK	Lokaal	Regionaal	Ter plekke
STRAFRECHT	Wetgeving	Wetboek
ACHTERLATEN	Dumpen	Verlaten	Nalaten
CERTIFICAAT	Diploma	Bewijs	Attest
FINANCIEREN	Betalen	Sponsoren
BREUK	Fractuur	Scheuring	Rekenvorm
KINKY	Pikant	Gewaagd	Sexy
OEVER	Kant	Waterkant	Strand
POKER	Kaartspel	Gokspel
SPOED	Haast	Urgentie	Snelheid
ABSURD	Bizar	Onzinnig
BINDEN	Knopen	Vastmaken
CAESAR	Keizer	Heerser	Romein
CITAAT	Aanhaling	Uitspraak
CREDIT	Tegoed	Batig	Saldo
DUMPEN	Storten	Lozen	Wegdoen
KORTOM	Aldus	Dus
OMLOOP	Baan	Rondgang
SPRINT	Eindspurt	Race	Snelrit
VROUWE	Dame	Adellijke	Meesteres
WEDDEN	Gokken	Inzetten
ZOZEER	Dermate	Zodanig	Dusdanig
CARAVAN	Trailer	Woonwagen
DROOGTE	Dorheid	Dorre tijd
ILLUSIE	Schijn	Waan	Fictie
KOSTUUM	Pak	Gewaad	Outfit
LICHTER	Minder zwaar	Helderder
MIJLPAAL	Keerpunt	Markering
TAMELIJK	Nogal	Redelijk	Vrij
