HINT	Wenk	Tip	Aanwijzing
JOKE	Grap	Mop	Kwinkslag
PEIL	Niveau	Stand	Hoogte
TANG	Knijper	Werktuig	Feeks
COCA	Struik	Blad	Plant
DUIN	Zandrug	Zandwal	Kustzand
ENDE	Eend	Watervogel	Zwemvogel
KA	Zielsdeel	Egypt. ziel
BUI	Regen	Vlaag	Neerslag
FIK	Brand	Vlam	Vuurtje
GOH	Tjonge	Ach	Verbazing
VZW	Vereniging (afk.)	Non-profit (afk.)
FLIP	Buiteling	Salto	Omslag
IMAM	Islam. leider	Moslim leider
KOEK	Gebak	Baksel	Snoepgoed
MUTS	Kap	Winterkap	Gebreide kap
TIJ	Eb en vloed	Stroming	Waterpeil
ZEN	Meditatie	Rust	Bezinning
BOEG	Voorkant	Voorzijde	Neus (schip)
CAPE	Mantel	Omslag	Kaap (geo)
RAUW	Ongaar	Vers	Bot
SLAP	Futloos	Week	Lusteloos
ZOOI	Warboel	Rommel	Bende
FA	Noot (muziek)	Zangnoot	Vierde noot
LIP	Mondrand	Randje	Beker rand
TIL	Hef op	Hijs	Duivenhok
GIRO	Betaling	Rekening	Postbank
GRIJP	Pak beet	Vat	Neem vast
IJSJE	IJshoorn	Koud toetje	Lekkernij
LOOS	Vals	Onecht	IJdel
ROMP	Torso	Lijf	Casco
WOND	Letsel	Kwetsuur	Snee
CAP	Petje	Muts	Klep
WAN	Graanzeef	Zeefmand	Korenmand
ALOM	Overal	Wijd en zijd
BITS	Kortaf	Vinnig	Snibbig
DARM	Ingewand	Orgaan	Buis
MOER	Boutdeel	Bezinksel	Ma (dialect)
MOST	Perssap	Sap (wijn)	Gistend sap
SOFT	Zacht	Teder	Slap
STIP	Punt	Spikkel	Vlekje
BIT	Mondstuk	Cijfer (comp.)	Boorpunt
LIK	Veegje	Proefje	Aai
RAI	Ital. tv (afk.)	A'dams beurs
SAS	Sluis	Opgetogen	Blijheid
AXEL	IJssprong	Sprong	Voornaam
BURG	Kasteel	Vesting	Stad
DOVE	Niet horend	Doofstom
KRIS	Dolk	Wapen (Indon.)
MEST	Gier	Drek	Compost
RAGE	Woede	Hype	Trend
RIET	Halm	Plant (water)	Dakstro
ACE	Aas (kaart)	Direct punt	Kanjer
RUIT	Rombus	Glasplaat	Venster
SPEK	Bacon	Vet (varken)	Snoepgoed
LP	Plaat	Schijf	Vinyl
MOS	Veenplant	Plant (bos)
SKI	Lat	Plank (sneeuw)	Glijplank
ABEL	Bekwaam	Kundig	Zoon van Adam
COKE	Cocaïne	Drug	Steenkool
HEFT	Handvat	Greep	Steel
KALF	Jongvee	Baby-koe
KEEP	Groef	Kerf
PLOT	Intrige	Verhaal	Draad (verhaal)
PLUG	Stekker	Prop	Dop
DIA	Beeld (foto)	Projectie	Plaatje
GEIT	Bok	Melkdier	Hoefdier
GOOR	Vies	Smerig	Vuil
LEUR	Venten	Slijten
TOER	Kunststuk	Rondrit	Foefje
TOLK	Vertaler	Taalbrug
TRUC	Foefje	Kunstje	List
DOT	Bosje	Prop	Klomp
GEL	Haarwas	Vloeistof	Smeersel
EVER	Wild zwijn	Beer (dier)
FARM	Boerderij	Boerenhof	Hoeve
KLEP	Ventiel	Afsluiter	Deksel
MOVE	Beweging	Zet	Actie
PUNK	Stijl (muziek)	Rebels type
SKIN	Huid	Uiterlijk	Thema (game)
WORM	Made	Larve	Virus (comp.)
ERA	Tijdperk	Periode	Tijdvak
FEE	Elfje	Magisch wezen
VEN	Poeltje	Heidemeer	Plasje
AREA	Gebied	Terrein	Oppervlak
KNAL	Explosie	Harde slag	Geweldig
KRAP	Nauw	Strak	Weinig ruimte
MILD	Zacht	Vergevend	Gematigd
KEI	Rotsblok	Steen	Klinker
VIN	Visdeel	Zwemdeel
DOOP	Wijding	Ceremonie	Inwijding
DRUG	Middel	Narcotica	Dope
HOLE	Gat (golf)	Baandeel (golf)
KUIP	Vat	Bak	Ton
MEMO	Briefje	Notitie	Boodschap
SMET	Vlek	Blaam
TEEF	Wijfje	Kreng	Loeder
VORK	Eetgerei	Splitsing	Bestek
BOA	Slang	Sjaal	Wurgslang
EIK	Loofboom	Boomsoort	Houtsoort
GAGA	Verward	Dwaas	Stapelgek
IDEM	Ditto	Evenzo	Hetzelfde
JADE	Edelsteen	Groen mineraal	Naam (meisje)
MAST	Paal	Zendpaal
POEP	Drek	Kaka
TREE	Stamboom	Zoekboom	Structuur
AHA	Inzicht	Verbazing	Uitroep
DUW	Zet	Stoot	Por
LAK	Vernis	Glansverf	Verflaag
BOEM	Knal	Dreun	Klap
FONT	Letter stijl	Tekstvorm
HOOI	Voer	Veevoer	Droog gras
JEUK	Kriebel	Irritatie
JUDO	Sport (Japans)	Gevecht (mat)
MAIS	Gewas	Graan	Veevoer
SOAP	Zeep	TV-serie	Melodrama
WAAG	Weeghuis	Stadspand
ZAAG	Werktuig	Zeurkous
MU	Griekse letter	Natuurk. teken
ALT	Zangstem	Koorstem	Stemsoort
ERF	Grond	Perceel	Tuin
LAP	Doek	Vod	Stuk stof
PAR	Norm (golf)	Standaard
ABDIJ	Klooster	Convent	Godshuis
DUET	Tweezang	Samenzang	Duo (muziek)
NIER	Orgaan	Bonenvorm
PUSH	Zet	Stoot	Melding (app)
APK	Keuring (afk.)	Autotest
RUK	Trek	Stoot	Snok
BABA	Cakeje	Gebakje	Rumcake
BOON	Peul	Zaadje	Groente
GIPS	Verband	Mineraal
KLOP	Tik	Slag	Correct
MOUW	Armdeel	Oplossing
OEPS	Foutje	Sorry	Pardon
POLL	Stemming	Peiling	Enquête
RUSH	Spoed	Drukte	Haast
SPAM	Junkmail	Ongewenst	Reclame
VAAS	Kruik	Sierstuk
BES	Vruchtje	Bosvrucht
MIE	Noedels	Deegwaar	Pasta (Aziat.)
RAD	Wiel	Vlug	Snel
ALTO	Zangstem	Stemsoort	Sax (type)
HOST	Waard	Server	Gastheer
KWIK	Metaal (vloeib.)	Element (Hg)
LOER	Wacht	Val	Streek
PIS	Plas	Zeik	Vocht
BOEF	Schurk	Crimineel	Deugniet
BULT	Buil	Bobbel	Hobbel
KANO	Bootje	Vaartuig
KEUR	Stempel	Merkteken	Selectie
MOTO	Brommer	Bike	Telefoon
