SLAPEN	Rusten	Dromen	Pitten
STUREN	Verzenden	Dirigeren	Richten
VERSIE	Uitvoering	Editie	Variant
WAKKER	Ontwaakt	Niet slapend	Alert
HEERLIJK	Lekker	Verrukkelijk	Uitstekend
ONDANKS	Niettegenstaande	Hoewel	Toch
STEMMEN	Kiezen	Klanken	Afstellen
DAARNAAST	Bovendien	Tevens	Ook
OVERLEDEN	Gestorven	Dood	Omgekomen
ZIEKENHUIS	Kliniek	Gasthuis	Medisch pand
TEGENWOORDIG	Actueel	Modern	Nu ter tijd
DICHT	Gesloten	Nabij	Vlakbij
TEKST	Opschrift	Inhoud	Lyrics
VRIJDAG	Weekdag	5e werkdag	Voor het weekend
RELATIE	Verhouding	Band	Liefde
OVERHEID	Bestuur	Staat	Regering
HELFT	Half	Deel	Middenpunt
KRACHT	Sterkte	Macht	Energie
PAGINA	Bladzijde	Blad	Zijde
RUIMTE	Vertrek	Kamer	Heelal
VOELEN	Ervaren	Betasten	Bespeuren
ZONDAG	Weekdag	Rustdag	Kerkdag
ENERGIE	Kracht	Fut	Stroom
SPREKEN	Praten	Converseren	Kletsen
SITUATIE	Toestand	Positie	Stand van zaken
ONTVANGEN	Krijgen	Verwelkomen	Verkrijgen
KAART	Plattegrond	Ticket	Menu
GEHEEL	Totaal	Compleet	Volledig
VROEGER	Voorheen	Weleer	In het verleden
GEBEUREN	Plaatsvinden	Voorvallen	Geschieden
VOORBEELD	Model	Staaltje	Illustratie
GEZET	Fors	Stevig	Corpulent
RADIO	Omroep	Zender	Ontvanger
GEVOLG	Uitkomst	Resultaat	Effect
GEZICHT	Tronie	Smoel	Voorkant
KEUZE	Selectie	Optie	Besluit
DRAGEN	Aanhebben	Torsen	Schragen
KENNIS	Weten	Geleerde	Expertise
GELEGEN	Passend	Geschikt	Gunstig
PLEZIER	Genoegen	Pret	Lol
GEVALLEN	Neergestort	Omlaag	Voorvallen
BETROKKEN	Aangedaan	Aangesloten	Deelnemend
HOTEL	Logement	Pension	Herberg
MARKT	Handelsplein	Afzet	Kraampjes
ZOMER	Jaargetijde	Vakantietijd	Badseizoen
