GEACCEPTEERD	Aanvaard	Erkend
GEMEENTEHUIS	Stadhuis	Raadhuis
UITGESTORVEN	Verdwenen	Dood
VERPLICHTING	Plicht	Taak
DALEN	Zakken	Afnemen
GEBED	Smeekbede	Bidstond
GRIEP	Influenza	Ziekte
JEANS	Denim	Broek
LEVER	Hefboom	Orgaan
ROBOT	Machine	Automaat
STOER	Fors	Taai	Viriel
TOPIC	Onderwerp	Thema
BLAZEN	Waaien	Puffen
EMOTIE	Gevoel	Sentiment
LIVING	Woonkamer	Zitkamer
MEDIUM	Paragnost	Gemiddeld
RIJKDOM	Welstand	Overvloed	Fortuin
STAKEN	Stoppen	Actie voeren
AFNEMEN	Dalen	Krimpen
APPLAUS	Ovatie	Bijval
CARTOON	Spotprent	Tekenfilm
KLASSEN	Leerjaren	Groepen
LEGENDE	Sage	Fabel	Mythe
OVERLAST	Hinder	Ongemak
PRODUCER	Maker	Financier
ZWANGERE	Bolle buik	Drachtige
BEHEERSEN	Domineren	Kennen
EXPOSITIE	Vertoning	Show
FABRIKANT	Producent	Maker
STRAFBAAR	Illegaal	Verboden
VERVOEREN	Brengen	Rijden
INTERACTIE	Samenspel	Contact
ONTDEKKING	Vondst	Vinding
TERRORISME	Aanslag	Geweld
ONDERZOEKER	Speurder	Analist
ONZEKERHEID	Twijfel	Onrust
UITDRUKKING	Zegswijze	Gezegde
BAARD	Sikje	Stoppels
BOTER	Smeersel	Zuivel
FLAUW	Smakeloos	Bleek	Slap
DOCTOR	Arts	Geleerde
DRIJVEN	Vlotten	Dobberen
GEACHT	Geëerd	Vermeend
LINKER	Hartzijde	Bakboord
MAATJE	Vriendje	Kameraad
MULDER	Molenaar	Meelmaker
OFFICE	Kantoor	Bijkeuken
RUIMEN	Weghalen	Legen
SCHRIK	Angst	Vrees
STREEP	Lijn	Balk
VOEDEN	Verzorgen	Zogen
BEVELEN	Gelasten	Gebieden
GRONDEN	Redenen	Motieven
INNEMEN	Veroveren	Slikken
BESTUREN	Leiden	Regeren
MIGRATIE	Trek	Vertrek
WINKELEN	Shoppen	Kopen
CONSUMENT	Klant	Koper
TESTAMENT	Uiterste wil	Akte
BESTUDEREN	Leren	Doorlezen
FREQUENTIE	Herhaling	Trilgetal
GODSDIENST	Religie	Geloof
ACHTERHALEN	Vinden	Ontdekken
BLOOT	Naakt	Kaal
CROSS	Veldloop	Wedren
ERNST	Zwaarte	Gewicht
JOODS	Judaïsch	Hebreeuws
REGIE	Leiding	Toezicht
SCHIJF	Disk	Rondel	Plak
ZOWAT	Ongeveer	Circa
JUNGLE	Oerwoud	Rimboe
RUIKEN	Snuiven	Waarnemen
RUILEN	Wisselen	Swappen
STRAAL	Bundel	Radius
ZIELIG	Sneu	Triest
PLASSEN	Wateren	Piesen
BEZITTEN	Hebben	Behoren
HARMONIE	Eendracht	Fanfare
KALENDER	Agenda	Almanak
PROTOCOL	Reglement	Verslag
TANDARTS	Dentist	Kaakarts
WANHOPIG	Radeloos	Moedeloos
CONSTANTE	Vast getal	Gegeven
PREVENTIE	Voorzorg	Profylaxe
VERRASSEN	Verbazen	Choqueren
COLLECTIEF	Groep	Samen
UITOEFENEN	Beoefenen	Vervullen
VERBOUWING	Renovatie	Klussen
STABILITEIT	Vastheid	Evenwicht
TEVOORSCHIJN	In het zicht	Voor de dag
KWALIFICATIE	Diploma	Titel
VERNIETIGING	Afbraak	Ondergang
WETSVOORSTEL	Voorstel	Ontwerp
ANGEL	Stekel	Priem
DUNNE	Magere	Slanke
GARDE	Klopper	Wacht
KORAN	Heilig boek	Islamboek
BILLEN	Achterste	Zitvlak
DEKKER	Fokdier	Naam
INGAAN	Beginnen	Starten
JERSEY	Sweater	Shirt	Trui
AANLOOP	Opmaat	Startfase
CHATTEN	Kletsen	Praten
ERFENIS	Erfgoed	Erfdeel
KLIMMEN	Stijgen	Klauteren
KNUFFEL	Omhelzing	Beer	Aai
MAXIMUM	Plafond	Toppunt
OLIFANT	Dikhuid	Slurfdier
VORMING	Opleiding	Scholing
WATEREN	Plassen	Piesen
ZESTIEN	Telwoord	Cijfer 16
COMMANDO	Bevel	Order
DIAGNOSE	Oordeel	Bevinding
ERKENNEN	Toegeven	Inzien
GEWAPEND	Toegerust	Uitgerust
INHEEMSE	Lokale	Inlandse
STADHUIS	Raadhuis	Gebouw
TOESTAAN	Gedogen	Dulden
BEGROTING	Raming	Budget
BLOKKEREN	Hinderen	Afsluiten
EERBETOON	Hulde	Ovatie
SCHAKELEN	Verbinden	Wisselen
UNIVERSUM	Heelal	Kosmos
VOLHOUDEN	Doorgaan	Aanhouden
BESCHAVING	Cultuur	Fatsoen
CHRISTENDOM	Religie	Kerk
GODVERDOMME	Verdomme	Vervloekt
ONZICHTBAAR	Verborgen	Ongezien
BEEST	Dier	Monster
KONIJN	Langoor	Huisdier
STEEL	Handvat	Stengel
ACCENT	Tongval	Klemtoon
BEGAAN	Plegen	Meelevend
BLINDE	Luik	Jaloezie
GROOTS	Verheven	Machtig
NADEEL	Minpunt	Handicap
OPSLAG	Berging	Verhoging
POTTER	Schuit	Kotter
TENNIS	Balsport	Netspel
ZOENEN	Kussen	Tongen
AANDOEN	Dragen	Raken
MIDDELS	Via	Door
SNAPPEN	Begrijpen	Vatten
SCHAAMTE	Gêne	Schroom
SCHEPPEN	Creëren	Maken
