NON	Kloosterzuster	Zuster	Geestelijke
HIGH	Stoned	Bedwelmd	Euforisch
PAPA	Vader	Pa	Paps
TREK	Eetlust	Ruk	Tocht
BEEN	Ledemaat	Lichaamsdeel	Bot
DIER	Beest	Viervoeter	Levend wezen
TERM	Vakwoord	Uitdrukking	Begrip
TOON	Klank	Muzieknoot	Laat zien
HUID	Vel	Epidermis	Omhulsel
KLIK	Kort geluid	Vriendenkring	Getik
DO	Muzieknoot	Toonladder	Eerste noot
CEL	Gevangenis	Bouwsteen	Kerker
GAS	Damp	Brandstof	Fluïdum
KIM	Horizon	Gezichtslijn	Vrouwennaam
KUT	Schaamdeel	Scheldwoord	Waardeloos
ENIG	Alleen	Snoezig	Sommige
RIJKE	Bemiddelde	Vermogende	Welgestelde
STER	Hemellichaam	Beroemdheid	Idool
LOT	Toeval	Levenspad	Bestemming
QUA	Wat betreft	Betreffende	Inzake
DANS	Ballet	Wals	Choreografie
GEEL	Citroenkleur	Kanariekleur	Zonkleur
PIET	Sintknecht	Jongensnaam	Zwarte knecht
BLIK	Conservenbus	Oogopslag	Kijk
HOUT	Balk	Materiaal	Brandstof
KILO	1000 gram	Gewichtsmaat	NAVO-letter
RAND	Buitenkant	Zoom	Boord
GO	Bordspel	Japans spel	Denkspel
CUP	Trofee	Beker	BH-maat
FASE	Stadium	Etappe	Periode
KAST	Meubel	Bergruimte	Dressoir
MAAN	Satelliet	Hemellichaam	Nachtlicht
ROZE	Lichtrood	Zalmkleur	Bleekrood
COOL	Stoer	Gaaf	Relaxed
GOOI	Werp	Smijt	Regio in NH
LIED	Deuntje	Chanson	Melodie
LOGO	Beeldmerk	Handelsmerk	Symbool
NABIJ	Dichtbij	Vlakbij	Om de hoek
BAK	Container	Grap	Trog
MIST	Nevel	Waas	Ontbeert
RAAM	Venster	Ruit	Kozijn
STAR	Stijf	Onbuigzaam	Rigide
GAT	Opening	Holte	Kuil
JAS	Mantel	Kledingstuk	Colbert
SET	Stel	Filmlocatie	Servies
TIP	Advies	Punt	Aanwijzing
HA	Uitroep	Hectare (afk.)	Verbaasde kreet
HOT	Trendy	Populair	Commando paard
LOL	Plezier	Pret	Gein
POP	Marionet	Muziekstijl	Insectenstadium
VAK	Beroep	Compartiment	Studierichting
HUUR	Pacht	Maandbedrag	Woonkosten
MARS	Planeet	Oorlogsgod	Chocoladereep
ROOK	Walm	Damp	Wolk
WILD	Ontembaar	Ongetemd	Jachtbuit
ZAAL	Ruimte	Auditorium	Aula
ZIEL	Geest	Innerlijk	Levenskracht
IJS	Bevroren water	Coupe	Gladde laag
ELF	Telwoord	Cijfer 11	Tovergeest
OPA	Grootvader	Bejaarde man	Pake
BOER	Landbouwer	Jack	Plattelander
