MIK	Richt	Roggebrood	Vertakking
PVC	Kunststof (afk.)	Plastic (afk.)	Isolatie (afk.)
REE	Hert	Hoefdier	Boswild
BRES	Gat	Doorbraak	Leemte
DIJEN	Bovenbenen	Zwellen	Uitzetten
DOES	Hondenras	Hinde	Damhinde
DOOM	Damp	Nevel	Rook
KNUS	Gezellig	Sfeervol	Huiselijk
SLEE	Slede	Rodel	Snelle auto
YARD	Britse maat	Werf	0,91 meter
ABT	Overste	Prior	Geestelijke
BAAR	Draagbed	Golf	Staaf
FOLK	Genre	Volkse muziek	Roots muziek
GADE	Partner	Gemaal	Gemalin
KNIK	Bocht	Kromming	Deuk
SOFA	Bank	Zitbank	Canapé
STIK	Smoor	Naai	Verrek
WOUW	Roofvogel	Verfplant	Reseda
FEZ	Hoed	Rood hoedje	Stad Marokko
BLUT	Arm	Platzak	Berooid
DROL	Poep	Keutel	Sufferd
DUPE	Pineut	Zondebok	Verliezer
GOUW	Streek	Gewest	Provincie
KROL	Broodje	Bolletje	Pistolet
KURK	Stop	Flesstop	Drijver
LOMP	Onhandig	Bot	Vod
SAGE	Legende	Mythe	Kroniek
REU	Mannetje	Dekdier	Rekel
GEUL	Kanaal	Waterweg	Laagte
HASJ	Softdrug	Drug	Cannabis
KRUK	Zitje	Deurgreep	Kluns
SNEE	Snede	Plak	Wond
STUG	Stijf	Koppig	Hard
VAAR	Stuur	Zeil	Navigeer
GUT	Tjonge	Verrek	Uitroep
TAB	Lipje	Rekening	Strookje
BOEI	Kluister	Baken	Drijver
SPAT	Spetter	Vlek	Kwaal
PEP	Energie	Fut	Bezieling
BERM	Wegkant	Wegrand	Grasrand
KLIF	Rotswand	Steilrand	Kaap
MILA	Voornaam	Meisje	Besnijdenis
MONO	Enkel	Eenkanaal	Pfeiffer
SNIK	Zucht	Hik	Kreet
TEER	Pek	Broos	Kwetsbaar
ASO	Tuig	Proleet	Hufter
BOTS	Knal	Klap	Raak
FAAM	Reputatie	Roem	Aanzien
LOGE	Zitplaats	Kleedcel	Balkon
REEF	Zeilvouw	Zeildeel	Vouw
SPIT	Draaistok	Rugpijn	Spade
TURF	Veen	Brandstof	Dik boek
