word	current_clue
HINT	Aanwijzing
JOKE	Uiting of handeling
PEIL	Niveau of stand
TANG	Kwaadaardig wijf
COCA	Plant
DUIN	Zandheuvel aan de kust
ENDE	Eend
KA	Vrouw die krachtig
BUI	Kortstondige periode
FIK	Verbranding met vuur
GOH	Uitdrukking
VZW	Vereniging
FLIP	Aandeel Philips
IMAM	Voorganger
KOEK	Baksel uit de oven
MUTS	Hoofddeksel van textiel
TIJ	Periodieke wisseling
ZEN	Vorm van boeddhisme
BOEG	Voorkant van een schip
CAPE	Wijde jas
RAUW	Ongekookt en vers
SLAP	Stevigheid ontberend
ZOOI	Warboel
FA	Bepaalde muzieknoot
LIP	Dat wat door vorm
TIL	Houten constructie
GIRO	Geld-
GRIJP	Griffioen
IJSJE	Van roomijs
LOOS	Leeg
ROMP	Lichaam van een mens
WOND	Beschadiging
CAP	Hoofdeksel
WAN	Apparaat
ALOM	Overal
BITS	Kortaf en scherp
DARM	Onderdeel
MOER	Blokje met een gat
MOST	Gistend vruchtensap
SOFT	Zacht
STIP	Puntvormig
BIT	Metalen staaf
LIK	Aanraking met de tong
RAI	Raden
SAS	Arend
AXEL	Sprong
BURG	Burcht
DOVE	Duif
KRIS	Indonesische
MEST	Uitwerpselen
RAGE	Woede
RIET	Plantensoort
ACE	Bij tennis de opslag
RUIT	Lucht- en waterdichte
SPEK	Sponzige zoetwaar
LP	Lumbale punctie
MOS	Primitieve sporenplant
SKI	Lange lat
ABEL	Bekwaam
COKE	Cocaïne
HEFT	Handvat van een mes
KALF	Jong van het rund
KEEP	Inkeping
PLOT	Raamwerk van een verhaal
PLUG	Stekker
DIA	Dag
GEIT	Evenhoevig zoogdier
GOOR	Onsmakelijk
LEUR	Waardeloos ding
TOER	Rij
TOLK	Spreker
TRUC	Handeling
DOT	Pluk vezelig
GEL	Gecrosslinkt polymeer
EVER	Ooit
FARM	Boerderij
KLEP	Orgaan in het hoofd
MOVE	Beweging
PUNK	Subcultuur
SKIN	Aanpasbaar uiterlijk
WORM	Betrekkelijk klein
ERA	Bijzonder lange tijd
FEE	Vrouwelijk wezen
VEN	Ondiep meertje
AREA	Open terrein
KNAL	Kort
KRAP	Met een kleine maat
MILD	Zachtaardig
KEI	Brok gesteente
VIN	Uitstekend lichaamsdeel
DOOP	Eerste keer
DRUG	Stimulerend
HOLE	Hele traject
KUIP	Wijd
MEMO	Korte aantekening
SMET	Vlek
TEEF	Vrouwelijke hond of vos
VORK	Aftakking
BOA	Slinger van vogelveren
EIK	Geslacht van loofbomen
GAGA	Onbegrijpend
IDEM	Dezelfde
JADE	Siersteen bestaande
MAST	Palen
POEP	Onzin
TREE	Boom
AHA	Uitroep
DUW	Zet
LAK	Oplossing
BOEM	Geluid van een inslag
FONT	Letterype
HOOI	Gedroogd gras
JEUK	Kriebel
JUDO	Japanse vechtsport
MAIS	Graansoort afkomstig
SOAP	Zeep
WAAG	Plaats waar vroeger
ZAAG	Stuk gereedschap
MU	Water
ALT	Lage vrouwenstem
ERF	Vanaf de tijd
LAP	Stuk van iets
PAR	Aantal slagen
ABDIJ	Klooster
DUET	Muziekstuk
NIER	Van beide organen
PUSH	Duwende slag
APK	Periodieke keuring
RUK	In één periode
BABA	Rond cakeje
BOON	Kleur
GIPS	Pleister
KLOP	Hoorbare slag
MOUW	Dat deel
OEPS	Uitroep
POLL	Bindende stemming
RUSH	Grote toeloop
SPAM	Ongewenste e-mail
VAAS	Aardewerken
BES	Kleine vrucht
MIE	Chinees deegwaar
RAD	Vlot
ALTO	Alt
HOST	Gastheer
KWIK	Grapje
LOER	Lokaas
PIS	Urine
BOEF	Deugniet
BULT	Uitstulping op de huid
KANO	Rank bootje
KEUR	Stempelmerk
MOTO	Mens
PRIK	Doorboring
BOE	Uitroep
LEI	Plat stuk
LOG	Moeilijk wendbaar
TOR	Insect
NERD	Iemand die sociaal
NIPT	Maar net voldoende
VINK	Zangvogel
JU	Uitroep om paarden
AAS	Speelkaart
DAR	Mannelijke bij
PUB	Café in een volkse
RIF	Ondiepte in water
AFRO	Verkorting
BAAL	Bal
OBER	Kelner
REIN	Zonder vuil
WATT	SI-eenheid
WRAK	Overblijfsel
HUB	Knooppunt
LUX	Afgeleide SI-eenheid
NAP	Houten kom
NES	Wonder
KROM	Niet recht
KUIL	Uitholling in de grond
SLIP	Afrekening
LUS	Kring aangebracht
OME	Oom
POR	Stoot
WED	Doorwaadbare plaats
GAAR	Duf
KAAP	Belangrijk moment
PING	Hinderlijk geluid
PONT	Brug
TUBE	Verpakking
EB	Hond
BUG	Insect
FAX	Apparaat
ROS	Roodachtig
WIS	Twijg
ANUS	Opening aan het eind
PACT	Overeenkomst
PION	Schaakstuk
SPAN	Twee of meer trekdieren
EG	Landbouw-
COX	Appelras
FAT	Modegek
NOR	Plaats
