woord	huidige_omschrijving
FRAK	Rokjas
KAPO	Hoofd
OBUS	Projectiel
OIR	Geheel van de personen
CIJNS	Indirecte belasting
SKAI	Gemaakt
SNEP	Snip
SAWA	Nat
KLIS	Geslacht van planten
KWEE	Boom waaraan gele appel-
LOTA	Beker gemaakt
GYMP	Gymschoen
KIEP	Keeper
TOOI	Versiersel dat dient
EBO	Geslacht van spinnen
TIJK	Stof die als een huid
BUTS	Beschadiging
FELS	Omgebogen rand
RINS	Zurig
ADAT	Gebruik
KAAM	Vliezig laagje
ARAK	Anijsdrank
KOON	Wang
LEEP	Sluw
SLEM	Koud
VIJS	Ijzeren staafje
LAAS	Uitroep van spijt
MUON	Fermion
POER	Betonnen
CFK	Koudemiddel gebruikt
DREG	Driearmig werpanker
GARF	Pachtgeld
LORK	Soort naaldboom
VOTA	Plechtige beloften
AHOI	Groet die men vooral
GRES	Zandsteen
BIMA	Verhoogd platform
PLAG	Afgestoken zode
TRAS	Gemalen tufsteen
GOJ	Niet-jood
TOEF	Bos
NUK	Gril
DAIM	Zacht leer
KROK	Stap
BLAK	Zonder rimpels
HUIK	Regenvast dekkleed
ZEEM	Honing
ZOMP	Moeras
GILD	Vereniging
WITZ	Grappige opmerking
KOF	Type zeilschip
RANS	Ranzig
EXIL	Ballingschap
GEUT	Geul
LEB	Enzym
OOFT	Boomfruit
PEUR	Tientallen wormen
VONT	Bekken
LIAS	Bundel
BUPS	Ongeordend geheel
KOUT	Gezellig babbeltje
MEAO	School
GLOS	Verklarende aantekening
TWEN	Twintiger
BLEI	Zoetwatervis
LEIS	Lange dunne riem
DOKS	Eend
PENE	Boete of andere straf
SLUM	Wijk waar mensen wonen
LUIM	Vrolijkheid
TAMP	Einde van een touw
TEEM	Zeur
FEUT	Eerstejaars
FINT	Die voorkomt
PREF	Verkorting
SIEF	Syfilis
VLOS	Bosje draden
LIJS	Lange
DOFT	Zitbank in een roeiboot
VEEM	Groep eedgenoten
CEEL	Bewijsstuk
RAKU	Dik
EPPE	Selderie
GRIJN	Rozijn
GERIJ	Aanhoudend
GLOP	Nauwe doorgang
PIOT	Soldaat
BLEK	Lapje leer
SNEK	Kegelvormig lichaam
FEP	Drinken
KOOF	Hoofddeksel of hoofdtooi
OLIM	In het verleden
AVAL	Bindende afspraak
ZOEL	Aangenaam warm
RIJF	Mild
DYNE	Eenheid van kracht
VAKE	Koe
PAAN	Op fluweel
GREB	Sloot
EKEN	Gemaakt uit het hout
KOES	Uitroep naar een dier
EDIK	Edict
IJKER	Iemand die controleert
ZIFT	Teer
LUW	Uit de wind
ZOOR	Uitgedroogd
APIN	Vrouwelijke aap
ONUS	Plicht
PONK	Bergplaats
BRIJN	Zout water
KIEF	Dat meestal vermengd
OSSI	Duitser
WULK	Behoort
NUF	Verwaand
HEBI	Zwaar
LAAI	Vlam
PILO	Verkorting
PLOK	Handvol
PUIT	Soort kikker
UGLI	Die eruitziet
ZWAD	Gemaaid gras
AAGT	Appel
AMAH	Hulp in de huishouding
LUUR	Luier
RIJER	Opname gemaakt
GIJK	Rondhout bevestigd
JID	Jood
WUI	Werktuig
AAMT	Zwelling van de uier
AKST	Zwaar
AMTO	Afkorting
ASLA	Nooit
BERD	Bord
BEUG	Vistuig bestaande
DUIG	Plank
FLOX	Geslacht van sierplanten
FRUL	Klein
FULP	Langharig fluweel
GEJIJ	Voortdurend alles
GLIT	Vorm van loodoxide
GLUI	Stro of stevig riet
GOJS	Niet-joods
HAUW	Droge doosvrucht
HUDO	Primitief toilet
IJZEN	Gevoel
JIJEN	Iemand aanspreken
KESP	Korte draagbalk
KIYU	Van de graden
KOEP	Hok onder een trap
LEAO	Nederlandse vorm
MEUN	Bruine zeevis
MOLM	Vergaan materiaal
MUIK	Meuk
NAPI	Soort yam
NOES	Scheef
OXER	Type hindernis
PEDA	Huisvesting met toezicht
PROL	Iemand van lage komaf
SJAP	Borrel
SLEG	Zeer grote hamer
SMIS	Werkplaats van een smid
SNEB	Snavel
SOMP	Moeras
SPOG	Speeksel
TRIJS	Takje
UIIG	Smakend of ruikend
VUNS	Muf
WASI	Huis
WUFT	Licht van bewegingen
YAWS	Framboesia
YUCA	Yucca
ZEET	Handeling
ZERP	Grofkorrelig
ZIJIG	Al te zoetsappig
