VIJL	Grove rasp	Rasp	Fijne rasp
NIMF	Godin	Bosgeest	Larve
PIAS	Clown	Nar	Grapjas
PIEL	Piemel	Lastig klusje	Moeilijk werk
ROEK	Kraaiachtige	Zwarte vogel	Vogelsoort
BEO	Pratende vogel	Tropische vogel	Zangvogel
FAUN	Bosgod	Natuurgod	Sater
HESP	Ham	Vleeswaar	Gerookt vlees
KLAM	Vochtig	Klef	Zweterig
NOGA	Nougat	Snoep	Karamel
PRIL	Vroeg	Jong	Beginnend
AAK	Schuit	Vaartuig	Platboot
RUT	Berooid	Arm	Bloot
ULO	Oude school	Onderwijs	Lager onderwijs
BUKS	Geweer	Vuurwapen	Karabijn
EEGA	Echtgenoot	Partner	Gade
PARS	Volgeling	Perzië	Gelovige
PEUT	Petroleum	Lampolie	Brandstof
IJL	Dun	Schaars	Luchtig
APIS	Honingbij	Insect	Heilige stier
RATA	Aandeel	Portie	Evenredig deel
HAF	Lagune	Kustmeer	Zeearm
BUIL	Bult	Zeef	Blauwe plek
KIEN	Slim	Pienter	Schrander
MEUG	Smaak	Zin	Genoegen
TOOT	Punt	Spits	Piek
IEL	Dun	Broos	Zwak
TAF	Zijde	Stof	Weefsel
HORA	Uur	Kloktijd	Volksdans
KIFT	Jaloezie	Afgunst	Nijd
BOST	Vijftal	Cijfer 5	Getal
MALM	Jura-tijd	Tijdperk	Gesteente
LOR	Vod	Prul	Rommel
VIM	Reiniger	Zeep	Merknaam
MIRT	Heester	Struik	Sierplant
PAAP	Priester	Katholiek	Pastoor
FUST	Vaten	Vaatwerk	Ton
KINA	Boom	Plant	Kinine
KREK	Precies	Juist	Exact
TWIJG	Takje	Loot	Scheut
ZWEI	Hoekmeter	Meethaak	Hoekhaak
PLU	Afkorting	Kort woord	Regenspul
AALT	Gier	Mestvocht	Drab
EMOE	Loopvogel	Vogel	Grote vogel
POK	Puistje	Litteken	Pukkel
PUL	Eendje	Kuiken	Jonge eend
IJLEN	Haasten	Snellen	Rennen
IJZEL	Gladheid	Bevroren regen	Gladde weg
KOER	Erf	Plein	Binnenhof
LIJP	Gek	Mal	Getikt
RIL	Groef	Geultje	Beekje
BLOS	Roodheid	Gloed	Kleurtje
DOGE	Heerser	Vorst	Regent
GNOE	Antilope	Hoefdier	Wild dier
ISME	Leer	Stroming	Doctrine
KINE	Fysio	Therapeut	Afkorting
KOET	Zwemvogel	Vogel	Rietvogel
PEUL	Kussen	Dop	Omhulsel
RASP	Vijl	Fijnvijl	Werktuig
REEN	Verhoging	Rand	Grens
STOL	Brood	Gebak	Lekkernij
USO	Duif	Postduif	Vogel
AMBO	Podium	Verhoging	Katheder
BUDO	Vecht sport	Japanse kunst	Zelfverdediging
DAAS	Horzel	Insect	Suf
KROT	Bouwval	Hut	Vervallen huis
ZEEN	Pees	Koord	Draad
MIJT	Hooiberg	Stapel	Parasiet
VLET	Bootje	Sloep	Scheepje
WENK	Teken	Hint	Gebaar
YANK	Amerikaan	Noorderling	Bewoner VS
