DE	Lidwoord	Bepaald lidwoord
VAN	Voorzetsel	Bezit tonend
EEN	Onbepaald lidwoord	Telwoord
EN	Voegwoord	Plus
IN	Voorzetsel	Gedurende
OP	Voorzetsel	Uitgeput
IK	Persoonlijk vnw	Ego
DAT	Voegwoord	Aanw. vnw
VOOR	Prepositie	Leidend
JE	Persoonlijk vnw	Bezittelijk vnw
TE	Voorzetsel	Bijwoord
MET	Voorzetsel	Tezamen
ZIJN	Wezen	Bezittelijk vnw
NIET	Ontkenning	Geenszins
DIE	Aanw. vnw	Betr. vnw
ALS	Voegwoord	Indien
ER	Bijwoord	Aldaar
OM	Voorzetsel	Teneinde
MAAR	Voegwoord	Slechts
AAN	Voorzetsel	Actief
ZE	Persoonlijk vnw	Zij
OOK	Bijwoord	Eveneens
DOOR	Voorzetsel	Via
UIT	Voorzetsel	Gedoofd
NAAR	Voorzetsel	Onprettig
BIJ	Voorzetsel	Insect
DAN	Voegwoord	Daarna
DIT	Aanw. vnw	Dichtbij
WAS	Bestond	Kaarsvet
WE	Persoonlijk vnw	Wij
WAT	Vragend vnw	Enigszins
OF	Voegwoord	Dan wel
OVER	Voorzetsel	Resterend
KAN	Vermag	Kruik
MEER	Extra	Plas
ZO	Bijwoord	Aldus
AL	Bijwoord	Reeds
GEEN	Niet één	Nihil
MIJN	Bezittelijk vnw	Groeve
WEL	Inderdaad	Bron
TOT	Voorzetsel	Uiterlijk
NU	Bijwoord	Heden
HAAR	Bezittelijk vnw	Lok
BEN	Vorm van zijn	Eerste persoon
VEEL	Talrijk	Enorm
ME	Persoonlijk vnw	Mij
MOET	Is verplicht	Noodzaak
HOE	Vragend bw	Wijze waarop
NA	Voorzetsel	Later dan
WAAR	Vragend bw	Correct
WERD	Ontstond	Raakte
GOED	Prima	Bezit
WIL	Begeert	Wens
GAAN	Lopen	Reizen
ONZE	Bezittelijk vnw	Van ons
ZICH	Wederkerend vnw	Zelf
DOEN	Uitvoeren	Maken
HIER	Bijwoord	Ter plaatse
DUS	Voegwoord	Derhalve
MIJ	Persoonlijk vnw	Ikzelf
HAD	Bezat	Verkreeg
TWEE	Telwoord	Cijfer 2
WEER	Opnieuw	Klimaat
ZIEN	Kijken	Waarnemen
WIJ	Persoonlijk vnw	Ons allen
ECHT	Puur	Huwelijk
EENS	Ooit	Akkoord
DAAR	Ginds	Omdat
HEEL	Compleet	Zeer
TOCH	Evenwel	Immers
DAG	Etmaal	Hallo
MEE	Samen	Erbij
ZIJ	Persoonlijk vnw	Ze
ALLE	Totaal	Gans
IETS	Onbep. vnw	Wat
TOEN	Voegwoord	Destijds
HEM	Persoonlijk vnw	Die man
JA	Tuurlijk	Akkoord
WIE	Vragend vnw	Welke persoon
WEET	Beseft	Kent
NET	Precies	Web
VIA	Voorzetsel	Langs
MAN	Kerel	Gemaal
