word	current_clue
GEACCEPTEERD	Algemeen aanvaard
GEMEENTEHUIS	Gebouw
UITGESTORVEN	Helemaal verlaten
VERPLICHTING	Iets dat moet
DALEN	Naar beneden gaan
GEBED	Bidden
GRIEP	Mestvork
JEANS	Bijzonder sterke
LEVER	Hefboom
ROBOT	Machine die beschikt
STOER	Indruk makend
TOPIC	Onderwerp van gesprek
BLAZEN	Luchtstroom veroorzaken
EMOTIE	Hevig gevoel
LIVING	Kamer ingericht
MEDIUM	Fysieke drager
RIJKDOM	Bezitten van veel geld
STAKEN	Beëindigen
AFNEMEN	Minder groot
APPLAUS	Geklap in de handen
CARTOON	Spotprent
KLASSEN	Stapelen
LEGENDE	Verhaal
OVERLAST	Hinder
PRODUCER	Iemand die de zakelijke
ZWANGERE	Vrouw die in verwachting
BEHEERSEN	Meester zijn over
EXPOSITIE	Uitstalling
FABRIKANT	Eigenaar of ondernemer
STRAFBAAR	Wat kan leiden
VERVOEREN	Personen of objecten
INTERACTIE	Onderlinge beïnvloeding
ONTDEKKING	Vinden van iets nieuws
TERRORISME	Ontwrichten
ONDERZOEKER	Beoefenaar
ONZEKERHEID	Niet zeker zijn
UITDRUKKING	Door drukken
BAARD	Uitgesneden paneel
BOTER	Gekarnde en geknede room
FLAUW	Zonder smaak
DOCTOR	Academicus
DRIJVEN	Op het oppervlakte
GEACHT	Als waardig beschouwd
LINKER	Aan die zijde
MAATJE	Vriendje
MULDER	Molenaar
OFFICE	Onderdeel
RUIMEN	Iets leeg-
SCHRIK	Ervaren
STREEP	Begrenzing
VOEDEN	Systeem voorzien
BEVELEN	Overgeven
GRONDEN	Waterdiepte peilen
INNEMEN	Fig
BESTUREN	Zorgen
MIGRATIE	Verhuizen
WINKELEN	Enz
CONSUMENT	Algemene term
TESTAMENT	Herroepbare akte
BESTUDEREN	Je er grondig
FREQUENTIE	Aantal keren
GODSDIENST	Geloof en alle daar
ACHTERHALEN	Iets weten komen
BLOOT	Zonder bedekking
CROSS	Wedstrijd
ERNST	Stemming
JOODS	Te maken hebbend
REGIE	Leiding geven
SCHIJF	Plat en rond voorwerp
ZOWAT	Bij benadering
JUNGLE	Tropisch oerbos
RUIKEN	Geur waarnemen
RUILEN	Overeenkomen bezit
STRAAL	Rechte
ZIELIG	Medelijden opwekkend
PLASSEN	Urineren
BEZITTEN	Vnl
HARMONIE	Samenwerking of verband
KALENDER	Tabel die de verdeling
PROTOCOL	Geheel
TANDARTS	Medisch specialist
WANHOPIG	Zonder hoop
CONSTANTE	Grootheid
PREVENTIE	Voorkoming
VERRASSEN	Onverwachts confronteren
COLLECTIEF	Meerdere groepen
UITOEFENEN	In praktijk brengen
VERBOUWING	Bouwkundige wijziging
STABILITEIT	Situatie waarin
TEVOORSCHIJN	In het zicht
KWALIFICATIE	Toekenning
VERNIETIGING	Einde maken
WETSVOORSTEL	Voorstel
ANGEL	Orgaan
DUNNE	Darmstoornis
GARDE	Keukengerei bestaande
KORAN	Exemplaar
BILLEN	Aanscherpen
DEKKER	Iemand die dekt
INGAAN	Van start gaan
JERSEY	Sweater
AANLOOP	Op gang komen
CHATTEN	Op synchrone wijze
ERFENIS	Bezit
