FRAK	Lange jas	Overjas	Kledingstuk
KAPO	Kampbaas	Blokhoofd	Opzichter
OBUS	Granaat	Kogel	Explosief
OIR	Nazaten	Kroost	Kinderen
CIJNS	Belasting	Heffing	Tol
SKAI	Kunstleer	Nepleer	Namaak
SNEP	Watervogel	Steltloper	Wadvogel
SAWA	Rijstveld	Akker	Drassig land
KLIS	Klit	Onkruid	Veldplant
KWEE	Fruitboom	Vrucht	Gele vrucht
LOTA	Waterkan	Drinkkan	Metalen kan
GYMP	Gymschoen	Sneaker
KIEP	Kip	Hen	Pluimvee
TOOI	Sieraad	Opschik	Pronk
EBO	Spinsoort	Spin	Diersoort
TIJK	Stof	Bedstof	Sterke stof
BUTS	Deuk	Kras	Kneuzing
FELS	Plooirand	Naad	Vouw
RINS	Zurig	Wrang	Scherp
ADAT	Gebruik	Traditie	Gewoonte
KAAM	Schimmel	Velletje	Laagje
ARAK	Sterke drank	Drank	Anijs drank
KOON	Wang	Jukbeen	Gezicht
LEEP	Sluw	Slim	Geslepen
SLEM	Kil	Alle slagen	Modder
VIJS	Schroef	Bout	Metaalpin
LAAS	Ach	Jammer	Spijtig
MUON	Lepton	Deeltje	Zwaar elektron
POER	Fundering	Sokkel	Voetstuk
CFK	Koelgas (afk.)	Drijfgas (afk.)	Aerosol (afk.)
DREG	Werpanker	Anker	Zoekhaak
GARF	Schoof	Pachtgeld	Korenbos
LORK	Lariks	Naaldboom	Conifeer
VOTA	Geloften	Eden	Beloften
AHOI	Groet	Hallo	Roep
GRES	Zandsteen	Aardewerk	Steengoed
BIMA	Podium	Verhoging	Platform
PLAG	Zode	Graszode	Turf
TRAS	Tufsteen	Bouwstof	Mortel
GOJ	Niet-jood	Heiden	Christen
TOEF	Bos	Pluk	Kuif
NUK	Gril	Kuur	Luim
DAIM	Zacht leer	Suède	Wildleer
KROK	Stap	Schrede	Pas
BLAK	Glad	Effen	Kalm
HUIK	Mantel	Cape	Regenkap
ZEEM	Honing	Poetsdoek	Leren doek
ZOMP	Moeras	Drasland	Schuit
GILD	Bond	Vakbond	Orde
WITZ	Grap	Mop	Kwinkslag
KOF	Zeilschip	Vaartuig	Boot
RANS	Ranzig	Muf	Bedorven
EXIL	Balling	Vlucht	Asiel
GEUT	Geul	Gootje	Kanaaltje
LEB	Enzym	Stremsel	Maagsap
OOFT	Boomfruit	Fruit	Vruchten
PEUR	Aasbundel	Visaas	Wormenaas
VONT	Bekken	Doopbak	Doopvat
LIAS	Bundel	Dossier	Pak
BUPS	Zootje	Bende	Boel
KOUT	Praatje	Gesprek	Babbeltje
MEAO	School (afk.)	Opleiding (afk.)	Onderwijs (afk.)
GLOS	Notitie	Uitleg	Randnoot
TWEN	Twintiger	Jongere	Jaren 20
BLEI	Vis	Brasem	Riviervis
LEIS	Teugel	Leidsel	Riem
DOKS	Eend	Eendje	Pluimvee
PENE	Boete	Straf	Sanctie
SLUM	Arme wijk	Getto	Buurt
LUIM	Humeur	Gril	Stemming
TAMP	Uiteinde	Kabeleind	Puntje
TEEM	Zeur	Zanik	Klaagtoon
FEUT	Groentje	Student	Nieuw lid
FINT	Truc	List	Streek
PREF	Voorkeur	Favoriet	Lieveling
SIEF	Syfilis	Ziekte	Kwaal
VLOS	Pluisje	Draadje	Vezel
LIJS	Trage vrouw	Sufferd	Sloom
DOFT	Roeibank	Zitbank	Bankje
VEEM	Pakhuis	Gilde	Opslag
CEEL	Bewijs	Bon	Kwitantie
RAKU	Aardewerk	Keramiek	Japans aardewerk
EPPE	Selderie	Groente	Kruid
GRIJN	Rozijn	Krent	Gedroogde druif
GERIJ	Gestaag	Steeds door	Continu
GLOP	Steegje	Doorgang	Smalle gang
PIOT	Soldaat	Militair	Recruut
BLEK	Lapje	Leerlapje	Restje
SNEK	Zeilboot	Scheepje	Vaartuig
FEP	Drinken	Slobberen	Lurken
KOOF	Kap	Muts	Hoofdtooi
OLIM	Vroeger	Eertijds	Voorheen
AVAL	Garantie	Borgtocht	Waarborg
ZOEL	Aangenaam warm	Lauw	Zacht
RIJF	Mild	Zacht	Soepel
DYNE	Eenheid	Fysische maat
VAKE	Koe	Rund	Vee
PAAN	Strook	Baan	Reep
GREB	Sloot	Greppel	Gracht
EKEN	Eikenhout	Van eiken	Houten
KOES	Sussend woord	Kalmerend woord	Roep naar dier
EDIK	Azijn	Wijnazijn	Zuur
IJKER	Keurder	Ambtenaar
ZIFT	Zeef	Vergiet	Filter
LUW	Uit de wind	Beschut	Windstil
ZOOR	Droog	Verdord	Muf
APIN	Wijfjes aap	Aap	Wijfje
ONUS	Plicht	Last	Taak
PONK	Opslag	Schuur	Berging
BRIJN	Zout water	Pekel	Pekelnat
KIEF	Hasjiesj	Wiet	Marihuana
OSSI	Duitser	Bewoner
WULK	Zeeslak	Slak	Weekdier
NUF	Verwaand	Pedant	Arrogant
HEBI	Zwaar	Moeilijk	Lastig
LAAI	Vlam	Gloed	Vuur
PILO	Stof	Wolstof	Weefsel
PLOK	Handvol	Bosje	Pluk
PUIT	Kikker	Amfibie	Pad
UGLI	Vrucht	Tangelo	Citrus
ZWAD	Gemaaid gras	Grasrij	Maairij
AAGT	Appel	Vrucht	Fruit
AMAH	Meid	Baboe	Bediende
LUUR	Luier	Doek	Babydoek
RIJER	Reiger	Vogel	Waadvogel
GIJK	Giek	Zeilboom	Rondhout
JID	Jood	Israëliet	Hebreeër
WUI	Werktuig	Apparaat
AAMT	Uierkwaal	Zwelling	Kwaal
AKST	Zwaar	Log	Loodzwaar
