HEBBEN	Bezitten	Beschikken
WORDEN	Ontstaan	Gaan zijn
KUNNEN	Modaal ww	In staat
TEGEN	Contra	Strijdig
MAKEN	Doen	Creëren	Bouwen
ALLEEN	Solo	Enkel	Slechts
ONDER	Beneden	Lager dan
MOETEN	Behoren	Dienen
EERSTE	Voorste	Nummer een
STAAT	Rijk	Toestand	Land
ZOALS	Net als	Gelijk aan
KOMEN	Naderen	Bereiken
LEVEN	Bestaan	Existeren
WAREN	Koopwaar	Bestonden
ALTIJD	Steeds	Eeuwig	Immer
TUSSEN	Temidden	Onderling
LATEN	Toestaan	Gedogen
WAAROM	Vragend bw	Om welke reden
ALLES	Geheel	Totaal
GROTE	Fors	Enorm	Flink
TERUG	Retour	Weerom
GEWOON	Normaal	Alledaags
STEEDS	Almaar	Constant
EIGEN	Typisch	Privé
WILLEN	Verlangen	Wensen
GEVEN	Schenken	Doneren
SAMEN	Tezamen	Verenigd
VINDEN	Ontdekken	Traceren
PLAATS	Locatie	Ruimte	Stee
NODIG	Vereist	Gewenst
VANAF	Sedert	Sinds
WETEN	Kennen	Beseffen
LAATSTE	Finale	Slot	Eind
KRIJGEN	Verwerven	Ontvangen
BETER	Superieur	Gezonder
ZEGGEN	Melden	Verklaren
ALLEMAAL	Iedereen	Compleet
ZULLEN	Gaan	Moeten
GEMAAKT	Gecreëerd	Gebouwd
ANDERS	Overigens	Afwijkend
HOUDEN	Bewaren	Koesteren
GRAAG	Gretig	Gaarne
BLIJVEN	Verwijlen	Doorgaan
VERDER	Voorts	Bovendien
WANNEER	Als	Op welk moment
NIETS	Nul	Niks
VRAGEN	Verzoeken	Polsen
WERKEN	Arbeiden	Fungeren
VANDAAG	Heden	Deze dag
DAGEN	Weekdelen	Etmalen
EERST	Vooraf	Voorop
VRAAG	Verzoek	Kwestie
ZELFS	Sterker	Inclusief
GEZIEN	Geacht	Beschouwd
WERELD	Aarde	Mensheid
HELEMAAL	Volledig	Geheel
NEMEN	Pakken	Grijpen
GROOT	Fors	Enorm
SINDS	Sedert	Vanaf
ACHTER	Erna	Voorbij
GEDAAN	Voltooid	Afgerond
KIJKEN	Turen	Staren
NIEUWS	Journaal	Berichten
ZITTEN	Zetelen	Rusten
FAMILIE	Verwanten	Gezin
WEBSITE	Webpagina	Homepage
KLEINE	Nietig	Minuscuul
ONLINE	Digitaal	Virtueel
MOMENT	Ogenblik	Tijdstip
MANIER	Methode	Wijze
POLITIE	Agenten	Smerissen
WATER	Nat	Aqua
BUITEN	Extern	Openlucht
GELEDEN	Terug	Voorbij
KLAAR	Gereed	Voltooid
NIEUW	Vers	Modern
MANNEN	Heren	Kerels
SEPTEMBER	9e maand	Najaar
ENIGE	Enkel	Alleen
DENKEN	Peinzen	Overwegen
ECHTER	Maar	Toch
HELPEN	Bijstaan	Steunen
GEBRUIK	Gewoonte	Nut
LATER	Naderhand	Straks
MAART	3e maand	Voorjaar
BEETJE	Weinig	Tikkeltje
BEKEND	Vermaard	Befaamd
GENOEG	Voldoende	Afdoende
MOGELIJK	Haalbaar	Eventueel
THUIS	Woonplek	Vaderhuis
SPELEN	Ravotten	Acteren
GEBRUIKEN	Benutten	Hanteren
TERWIJL	Onderwijl	Hoewel
ZORGEN	Regelen	Verwekken
ONDERZOEK	Studie	Analyse
WAARIN	Vragend bw	In wat
EIGENLIJK	Feitelijk	Echt
INFORMATIE	Kennis	Gegevens
APRIL	4e maand	Grasmaand
VIDEO	Filmpje	Opname
VANUIT	Herkomst	Uit
PROBLEEM	Kwestie	Knelpunt
SOORT	Type	Variëteit
VADER	Papa	Pa
BEGIN	Start	Aanvang
ZODAT	Opdat	Waardoor
GEBIED	Terrein	Regio
ARTIKEL	Voorwerp	Lidwoord
LEREN	Studeren	Blokken
REGIO	Streek	Gebied
MOEDER	Mama	Ma
ONGEVEER	Circa	Pakweg
OKTOBER	10e maand	Wijnmaand
VERHAAL	Relaas	Vertelsel
MEEST	Grootst	Uiterst
EERDER	Vroeger	Voorheen
BRENGEN	Vervoeren	Bezorgen
HOREN	Vernemen	Luisteren
OPNIEUW	Andermaal	Weer
NOVEMBER	11e maand	Late herfst
ANDER	Overig	Afwijkend
NAAST	Nabij	Vlakbij
MEISJE	Meid	Deerne
MUZIEK	Toonkunst	Klanken
WAARBIJ	Vragend bw	Bij wat
ZETTEN	Plaatsen	Stellen
SLECHTS	Alleen	Enkel
HOOFD	Kop	Schedel
ZOWEL	Evenzeer	Beide
DAARNA	Nadien	Later
WACHTEN	Talmen	Uitzien
DUIDELIJK	Helder	Klaar
VROEG	Bijtijds	Op tijd
LEKKER	Smakelijk	Heerlijk
WEINIG	Schaars	Karig
GEMEENTE	Stad	Kern
GELIJK	Identiek	Correct
LOPEN	Wandelen	Stappen
MOGEN	Modaal ww	Toestaan
PRECIES	Exact	Juist
GEVAL	Kwestie	Zaak
ZOEKEN	Speuren	Snuffelen
ZOVEEL	Dermate	Massaal
SOMMIGE	Enkele	Bepaalde
BEGINNEN	Starten	Aanvangen
AFGELOPEN	Voorbij	Vorig
HALEN	Pakken	Winnen
LEZEN	Doornemen	Spellen
PARTIJ	Politiek	Portie
WEKEN	Weekdelen	Perioden
ZAKEN	Handel	Commercie
NUMMER	Cijfer	Getal
MOEILIJK	Lastig	Zwaar
BEZIG	Actief	Druk
LANGS	Voorbij	Naast
MORGEN	Ochtend	Straks
JANUARI	1e maand	Louwmaand
KLEIN	Nietig	Mini
NADAT	Zodra	Toen
DELEN	Splitsen	Segmenten
NOORD	Boven	Arctisch
RECHT	Justitie	Aanspraak
PRATEN	Kletsen	Babbelen
BEDANKT	Merci	Dank je
BIJVOORBEELD	Zoals	Onder meer
EINDE	Slot	Afloop
KAMER	Vertrek	Ruimte
STOND	Bevond zich	Was aanwezig
PROGRAMMA	Agenda	Schema
LIGGEN	Rusten	Zich bevinden
VOLGEN	Nagaan	Bijhouden
JUIST	Correct	Precies
REDEN	Motief	Oorzaak
LANDEN	Aankomen	Neerkomen
WAARDOOR	Vragend bw	Door wat
GEPLAATST	Neergezet	Gepost
MEDIA	Pers	Kranten
GEWORDEN	Ontstaan	Veranderd
BEIDE	Allebei	Tweeën
MIDDEN	Centrum	Kern
SLECHT	Beroerd	Bar
PROBEREN	Trachten	Pogen
GESCHIEDENIS	Historie	Verleden
WAARSCHIJNLIJK	Allicht	Vast wel
LEDEN	Lidmaten	Aanhang
BEDRIJF	Firma	Zaak
GEGEVEN	Feit	Data
LICHAAM	Lijf	Gestalte
STELLEN	Beweren	Poneren
FEBRUARI	2e maand	Schrikkel
ONDERWIJS	Educatie	Scholing
WEDSTRIJD	Duel	Kamp
WOORD	Term	Begrip
METEEN	Direct	Terstond
DOCHTER	Spruit	Kind
PERSOON	Mens	Individu
UITEINDELIJK	Tenslotte	Finaal
BUURT	Wijk	Omgeving
KOPEN	Verwerven	Bestellen
LIEFDE	Passie	Verering
CONTACT	Omgang	Band
LEEFTIJD	Ouderdom	Jaren
AUGUSTUS	8e maand	Zomer
MINISTER	Staatsman	Regeerder
TOEKOMST	Later	Morgen
AVOND	Schemer	Nacht
IEDER	Elk	Elke
BETALEN	Voldoen	Afrekenen
VERGETEN	Kwijt zijn	Verdwenen
PROVINCIE	Gewest	Landsdeel
ORGANISATIE	Bond	Stichting
ACTIE	Handeling	Daad
DIRECT	Meteen	Terstond
CENTRUM	Kern	Hart
INTERNET	Web	Netwerk
PRESIDENT	Regeerder	Opperbaas
BASIS	Grondslag	Fundament
DERDE	Cijfer 3	Na de 2e
ENKEL	Gewricht	Alleen
GELOOF	Religie	Devotie
OVERAL	Alom	Wijd verspreid
GENOEMD	Vermeld	Aangeduid
PROJECT	Plan	Opzet
WAARVAN	Vragend bw	Van wat
POLITIEK	Beleid	Bestuur
EXTRA	Bijkomend	Meer
GROND	Bodem	Terrein
ERVOOR	Daarvoor	Om die reden
LEIDEN	Aansturen	Besturen
VALLEN	Tuimelen	Neerkomen
BESTAAN	Voorkomen	Aanwezig zijn
HOEVEEL	Welk aantal	Vragend bw
LINKS	Bakboord	Rood
METER	Maat	Peettante
SUCCES	Triomf	Slagen
WELKOM	Gastvrij	Aangenaam
DAARMEE	Hiermee	Ermee
ALGEMEEN	Gangbaar	Breed
ANTWOORD	Reactie	Respons
GEWELDIG	Machtig	Prachtig
OMGEVING	Buurt	Milieu
KLEUR	Tint	Pigment
BOEKEN	Plannen	Lectuur
WAAROP	Vragend bw	Op wat
WAARMEE	Vragend bw	Met wat
GEHOUDEN	Verplicht	Gedwongen
TELEFOON	Mobiel	Toestel
BEELD	Icoon	Portret
LEGER	Troepen	Armee
RIJDEN	Besturen	Sturen
BEZOEK	Visite	Gasten
DIENST	Functie	Baan
VERLOREN	Kwijt	Zoek
INDERDAAD	Jazeker	Zeker
STERK	Krachtig	Fors
HELAAS	Jammer	Spijtig
TOTAAL	Geheel	Compleet
GEBOREN	Ter wereld	Ontstaan
WAARONDER	Vragend bw	Onder wat
ONTWIKKELING	Groei	Evolutie
LICHT	Fel	Simpel
VOORBIJ	Verleden	Passé
VORMEN	Creëren	Scheppen
BEDRIJVEN	Firma's	Zaken
INMIDDELS	Intussen	Reeds
VOORKOMEN	Optreden	Verhoeden
VERANDEREN	Wijzigen	Aanpassen
PRIMA	Prachtig	Best
EILAND	Atol	Land in zee
JONGEN	Knaap	Knul
MEESTAL	Doorgaans	Veelal
STOPPEN	Ophouden	Eindigen
AANWEZIG	Present	Ter plekke
VERWACHT	Voorzien	Gehoopt
TROTS	Fier	Prat
ACTIEF	Bedrijvig	Energiek
KONING	Vorst	Monarch
STRAAT	Weg	Laan
NORMAAL	Gewoon	Standaard
MEERDERE	Enkele	Diverse
PRACHTIG	Fraai	Mooi
REGERING	Kabinet	Bestuur
ZATERDAG	6e dag	Weekend
BROER	Verwant	Gezinslid
TITEL	Naam	Rang
ERGENS	Ietwaar	Alwaar
KENNEN	Weten	Beseffen
NOEMEN	Aanduiden	Betitelen
PERIODE	Tijdvak	Fase
SCHREEF	Pende	Noteerde
EINDELIJK	Tenslotte	Ten laatste
RICHTING	Koers	Kant
VOLLEDIG	Compleet	Geheel
BOVENDIEN	Daarnaast	Tevens
UNIVERSITEIT	Alma mater	Academie
GISTEREN	De dag ervoor	Voorheen
SCHRIJVEN	Pennen	Noteren
SERIE	Reeks	Cyclus
START	Begin	Aftrap
HOOGTE	Niveau	Elevatie
