TOPO | Mol
ENK | Akkergronden
PUS | Wittig vocht
MEUK | Oude troep of rotzooi
MIJNS | Van ik en 'k
PIES | Vloeistof
GAG | Grap in een film
HES | Boerenkiel
NOL | Kleine verhoging
YAM | Tropisch voedselgewas
BONK | Harde klont
GRIL | Onredelijk
GROM | Ingewanden
JUTE | Bastvezels
KAUW | Eem zwarte zangvogel
ANK | Hardmetalen blokje
CUE | Aanwijzing
EEK | Eikenschors
RIJS | Jong
HELA | Uitroep
KOPIJ | Tekst
VELG | Buitenrand van een wiel
HUL | Hun
KEK | Modieus
AVIS | Mening
DRUP | Vallen
HYPO | Te weinig glucose
ONYX | Variëteit van kwarts
WELP | Jonge padvinder
BIK | Stier
CES | Deze
BARD | Zanger en dichter
CLOU | Meest wezenlijke
GARD | Roe
GUTS | Gootvormige steekbeitel
TIPI | Tent tent
TROG | Langgerekte voederbak
MOF | Scheldnaam
BEDE | Smekend
HORS | Die voorkomt
KAAN | Vliezige bovenlaag
MAKI | Hand
PETS | Harde klap
RAAT | Bouwsel van was
ROOI | Moeite
BUL | Mannelijk rund
MUF | Onaangenaam
ZOG | Zuiging ontstaan
KUCH | Hoestje
RATO | Rat
RIFF | Ritmisch loopje
ZWIN | Verdieping in het zand
FATS | Strook
GRIT | Griet
POLK | Nest
RUNE | Schriftteken
PIJ | Habijt
OLM | Boom uit de iepenfamilie
BIPS | Billen
COAT | Jas
IJZIG | Met een lage temperatuur
WIJLE | Korte tijdsperiode
LEL | Klap
HORT | Plotselinge beweging
NAAF | Centrale as
REEL | Slank
RIEK | Handwerktuig
ROEF | Overdekt deel
STEE | Plek
YONI | Vrouwelijk genitaal
MUL | Dun katoenen weefsel
AWEL | Komaan
FADE | Geleidelijk verandering
FUUT | Watervogel
LEUT | Genoegen
SNUF | Nabootsing
SUMO | Traditionele vorm
TOSS | Opgooi van een muntstuk
RIS | Bundel vlas
WAK | Gat in het ijs
DRAF | Gang van paard
DREK | Mest
KRAK | Geluid wat ontstaat
PIPS | Er ongezond
POOK | Stang om het vuur
SOOS | Gelegenheid waar leden
DRA | Spoedig
KIF | Dat een hoog gehalte
NIJD | Grondige afkeer
KWAB | Weke massa vlees of vet
OPOE | Grootmoeder
SOU | Franse stuiver
FLOS | Tandzijde te gebruiken
GAAP | Opensperren
HOEN | Meest
KLAK | Klikkend geluid
STEN | Steen
VAAN | Ijzeren windwijzer
BRIK | Bakstenen
FETA | Soort schapenkaas
NEG | Lelijke buitenrand
TET | Negende letter
ACRE | Oude Franse
AMOK | Woede
PRUL | Rommeltje
TRAY | Open verpakking
SOF | Mislukking
ACME | Hoogtepunt
BLAF | Geluid van een hond
BLES | Witte vlek
FUGA | Meerstemmig muziekstuk
GUUR | Kil
POTS | Grap
SELA | Rots
SLAB | Doekje waarop
TEUG | Grote slok
ALP | Hooggelegen bergweide
KIR | Mengsel
URE | Onze
DRAM | Munteenheid van Armenië
FITS | Dat ook in België
WRAT | Hard
ZONA | Gordelroos
ALIA | Emigratie naar Israël
GRUT | Kleine brokjes
GUST | Geen vrucht dragend
SITU | Daar
POF | Bolstaande plooi
GORS | Zangvogel
KRIJN | Haarachtig vulsel
OKRA | Plant
REEK | Riek
JOTA | Kleinigheid
OKER | Van Frans ocre
TORN | Toren
MUI | Vaak snelle stroom water
FUIK | Langwerpig
KRIK | Voorwerp om zware dingen
AKS | Bijl met een lange steel
GLO | Gewoon lager onderwijs
PST | Sissend geluid
FOOR | Kermis
KOPS | Betrekking hebbend
POET | Buit
RINK | Omtrek
VORT | Vooruit
ZOZO | Van matige kwaliteit
BRIO | Levendigheid
COUR | Gerechtshof
HOMP | Afgesneden
STAG | Stug
DOUW | Duw
GAAI | Middelgrote
MURW | Geslagen
NEET | Ei van een luis
RIAL | Munteenheid van
VREK | Verrekken
AAM | Oude vochtmaat
WAF | Krachtig geluid
ROUX | Mengsel
UWER | Genitief van u of gij
ALK | Zeevogel die veel
ECU | Fictieve munt
BOES | Koeienstal
PEDO | Bezopen
RONG | Trein
TEAK | Soort duur
WULP | Vogel uit de familie
DUF | Saai
SNIT | Manier
TUIT | Schenkpijp aan een kan
AIO | Afgestudeerd basisarts
LOM | Groeve
DOEM | Vloek
FLUT | Slappe thee
HOUW | Harde klap
PUTS | Emmer aan een touw
VEI | Mals
LOUW | Zeelt
TUUT | Krachtig
DUT | Korte
BACO | Cocktail
BARK | Typen zijlschepen
GIEK | Rondhout bevestigd
HEEP | Gekromd snoeimes
LEST | Laatst
MOEI | Tante
TEUT | Iemand die veel kletst
YELL | Geschreeuwde leuze
GRIF | Heel snel
KNAR | Botterik
NEUT | Glaasje sterke drank
TULE | Fijnmazig
SADO | Licht rijtuigje
LBO | Afkorting
ANTE | Platte
ATOL | Ringvormig koraaleiland
COAX | Verkorting
LOET | Stuk gereedschap
RUIF | Houten
