REL	Opstootje	Herrie	Tumult
TIN	Metaal	Legering	Wasteil
BOWL	Punch	Feestdrank	Schaal
GOOT	Geul	Rioolgeul	Vormde
RITS	Sluiting	Rij	Reeks
TOTO	Gokspel	Pool	Kansspel
YUAN	Chinese munt	Munt in China	Geld uit China
PUP	Jonge hond	Hondenjong	Nestjong
LAUW	Halfwarm	Niet koud	Onbewogen
MAVO	Schooltype	Onderwijs (afk.)	Diploma (afk.)
BOK	Turntoestel	Blunder	Koetsbank
DOP	Schil	Kroonkurk	Uitkering
BLOM	Achternaam	Familienaam	Bloem (oud)
BOOR	Chemisch element	Gereedschap	Drilwerktuig
HEAT	Voorronde	Serie	Hitte
MOOR	Moriaan	Noord-Afrikaan	Uit Marokko
OORD	Plek	Streek	Gebied
SLIK	Kustmodder	Slijk	Neem in
TAST	Gevoel	Voel	Aanraking
WORP	Gooi	Nest jongen	Dobbelbeurt
PIP	Kippenziekte	Piepje	Klein zaadje
RAIL	Spoorstaaf	Leuning	Metalen staaf
ROOF	Diefstal	Plundering	Wondkorst
RUPS	Larve	Insectlarve	Kruipdier
TACO	Mexicaans gerecht	Tortillasnack	Wrap
VANG	Klauw	Grijp	Slot (deur)
VEEG	Uithaal	Reprimande	Bezemstreek
BIE	Insect (dial.)	Steekinsect	Bloembezoeker
LAF	Bang	Schijterig	Zonder moed
TAM	Mak	Niet wild	Gedwee
TAP	Bierkraan	Houten pen	Uitsteeksel
DRUM	Trommel	Olievat	Slagwerk
LAVA	Magma	Vulkaanstroom	Gesmolten rots
MALL	Winkelcentrum	Brede laan	Wandelpad
RUND	Koe	Os	Sufferd
WOUT	Agent	Smeris	Flik
WROK	Rancune	Wrevel	Nijd
MAF	Gek	Raar	Bizar
MUG	Insect	Steekinsect	Zomerplaag
RIB	Beendeel	Vleessoort	Randlijn
ALMA	Vrouwennaam	Voornaam	Meisjesnaam
AZIJN	Zuur vocht	Inmaakmiddel	Conserveermiddel
BROK	Stuk	Kluit	Keelprop
FIER	Trots	Verheven	Zelfbewust
HALO	Lichtkrans	Stralenkrans	Heiligenschijn
LAMA	Andesdier	Kameelachtige	Kloosterling
PLUK	Bosje	Handvol	Bundeltje
WAAN	Illusie	Inbeelding	Dwaalidee
ZWIJN	Varken	Wild varken	Smeerlap
DIS	Tafel	Feestmaal	Diner
DOK	Scheepswerf	Havenbekken	Reparatieplek
JEN	Vrouwennaam	Voornaam	Engelse naam
JUS	Braadsaus	Vleessaus	Bruine saus
SUF	Slaperig	Loom	Half wakker
DIVA	Sterzangeres	Operaster	Prima donna
KNUL	Jongen	Kwajongen	Sukkel
PIEP	Geluidje	Kort geluid	Muisgeluid
DIP	Dieptepunt	Sausje	Duik
RVS	Inox (afk.)	Roestvrij (afk.)	Metaal (afk.)
CHIC	Stijlvol	Elegant	Modieus
DITO	Idem	Insgelijks	Hetzelfde
EXIT	Uitgang	Aftocht	Vertrek
HEES	Schor	Rauw	Krassend
KERS	Steenvrucht	Rode vrucht	Boomvrucht
SLIJM	Snot	Neusvocht	Kleverig goedje
COL	Hoge kraag	Bergpas	Wielerklim
BEUK	Loofboom	Hardhoutboom	Sla erop
FAKE	Nep	Namaak	Bedrog
HULK	Wrak	Scheepsromp	Kolos
NERO	Romeinse keizer	Wreedaard	Tiran
AAR	Graanhalm	Bloeitop	Tarwetop
HEF	Droesem	Bezinksel	Belasting
HUI	Kaasvocht	Zuivelrest	Melkvocht
MUS	Zangvogel	Vogeltje	Stadsvogel
OER	Oorspronkelijk	IJzererts	Overoud
AULA	Schoolzaal	Gehoorzaal	Congreszaal
CARA	Longziekte (afk.)	Astmaterm (afk.)	Ademziekte (afk.)
JEEP	Terreinauto	Legervoertuig	4x4
KALK	Bouwmateriaal	Witte stof	Pleistermiddel
LAAR	Boslichting	Open plek	Bosopening
NEON	Edelgas	Chemisch element	Lichtreclame
PAPS	Vader	Pa	Papa
REEP	Chocoladestaaf	Strook stof	Latje
TORI	Vrouwennaam	Voornaam	Engelse naam
GAL	Leversap	Bittere vloeistof	Wrang sap
UFO	Vliegende schotel	Ruimteschip	Onbekend (afk.)
ARIA	Operalied	Solozang	Operanummer
GROS	Merendeel	Meerderheid	144 stuks
MAMS	Moeder	Ma	Mama
MAYO	Frietsaus	Eiersaus	Slasaus
RAAP	Knolgewas	Groente	Veevoer
TRUT	Nare vrouw	Zeurkous	Kenau
ION	Geladen deeltje	Atoomdeeltje	Deeltje (chem.)
KIL	Kreek	Waterloop	Koud (weer)
MAK	Tam	Gedwee	Volgzaam
BIOS	Filmhuis (afk.)	Chip (afk.)	Filmzaal (afk.)
BROS	Krokant	Breekbaar	Knapperig
LEDE	Waterloop	Kanaal	Vaart
RUIG	Ruw	Woest	Onstuimig
BIL	Zitvlak	Achterste	Lichaamsdeel
HEI	Struikgewas	Uitroep	Hallo
KNOL	Wortelgewas	Aardappel	Oud paard
LOOG	Bijtend goedje	Alkalisch vocht	Zeepgrondstof
MEEL	Bakingrediënt	Bloem (bak)	Broodbasis
MIDI	Muziekformaat	Middenmaat	Rok (lengte)
PERM	Tijdperk (geo.)	Haarbehandeling	Kapsel (afk.)
QUAD	Vierwieler	Terreinvoertuig	ATV (afk.)
STEK	Plantendeel	Takje	Vaste plek
WAAS	Nevel	Mist	Glans
FLOP	Mislukking	Fiasco	Sof
HARP	Snaarinstrument	Muziekinstrument	Concertinstrument
TROL	Fabelwezen	Internetpest	Monster
TULP	Bloem	Bolgewas	Hollandse bloem
BAT	Slaghout	Planken schot	Cryptomunt
YEN	Japanse munt	Munteenheid	Geld uit Japan
BOUT	Kippenpoot	Metalen pin	Braadstuk
DEMI	Lichte jas	Halve fles	Half (Frans)
DOPE	Doping	Stimulans	Gaaf (slang)
LILA	Lichtpaars	Paarsachtig	Bloemkleur
SODA	Bruiswater	Frisdrank	Schoonmaakmiddel
TREF	Ontmoeting	Bijeenkomst	Raak (stem)
KIK	Geluidje	Piep	Klacht
TIG	Ontelbaar	Talrijk	Zoveel
DIES	Stichtingsdag	Jaarfeest	Oprichtingsfeest
DONK	Heuveltje	Zandheuvel	Verhoging
EMIR	Arabische vorst	Sjeik	Moslimheerser
FUNK	Muziekstijl	Muziekgenre	Dansmuziek
KRAS	Schram	Vitaal (oud)	Fit (oud)
KWAL	Zeedier	Stekend dier	Akelig type
RAAF	Zwarte vogel	Kraaiachtige	Slimme vogel
SLOK	Teug	Mondvol	Drinkbeurt
TAAI	Moeizaam	Stug	Volhardend
OEI	Au	Uitroep	Oeps
