REGEL	Zinsdeel	Voorschrift	Liniaal
STOEL	Zitmeubel	Zitplaats
WIJZEN	Aanwijzen	Aangeven
GELEID	Aangestuurd	Begeleid
LOSSEN	Afschieten	Uitladen
BEZORGD	Ongerust	Bezorgd
EVENALS	Net als	Zoals ook
ONLANGS	Kortgeleden	Laatst
ONTSLAG	Ontheffing	Ontslagen
REGELEN	Organiseren	Beredderen
ZWANGER	In verwachting	Drachtig
JUSTITIE	Rechterlijke	Wetgeving?
VLUCHTEN	Ontsnappen	Wegvliegen
GEMIDDELD	Doorsnee	Modaal
AANPAK	Werkwijze	Methode
DATING	Daten	Contact zoeken
GEHEIM	Verborgen	Clandestien
NETJES	Ordelijk	Verzorgd
SCHAAL	Bakje	Verhouding
TALENT	Aanleg	Gave
TOILET	Wc	Privaat
MELDING	Bericht	Aangifte
AFSCHEID	Vaarwel	Adieu
BENIEUWD	Nieuwsgierig	Reikhalzend
CHRISTUS	Verlosser	Heiland
INSTANTIE	Organisatie	Overheid
HUMOR	Grappigheid	Kluchtig?
OPTIE	Keuze	Mogelijkheid
BOEREN	Landbouwen	Rondzwerven
DONKER	Duister	Somber
KANTEN	Zijden	Randen
OMGAAN	Verkeren	Hanteren
KLIMAAT	Weertype	Sfeer
THEATER	Schouwburg	Vertoon
PENSIOEN	Uittreding	Oudedagsgeld
ZICHTBAAR	Waarneembaar	Duidelijk
BEHANDELEN	Verwerken	Genezen
VRIENDELIJK	Aardig	Hartelijk
BEVEILIGING	Bewaking	Beveiliger
UITZONDERING	Afwijking	Bijzonderheid
KANKER	Gezwel	Aandoening
UITLEG	Toelichting	Verklaring
ZAKKEN	Dalen	Falen
AANSLAG	Terreurdaad	Toetsdruk
LOGISCH	Vanzelfsprekend	Aannemelijk
STUDENT	Scholier	Student
TEGELIJK	Gelijktijdig	Samen
ZWEMBAD	Bassin	Badhuis
BEVATTEN	Omvatten	Inhouden
BIJDRAGEN	Doneren	Meehelpen
EIGENDOM	Bezit	Have
AANGEPAST	Passend	Bewerkt
COMMENTAAR	Kritiek	Toelichting
TOEGESTAAN	Geoorloofd	Vergund
VASTGESTELD	Bepaald	Geconstateerd
DROOG	Dor	Saai
WEZEN	Aard	Schepsel
ALSNOG	Toch nog	Uiteindelijk
DOKTER	Arts	Medicus
LERAAR	Docent	Onderwijzer
OPEENS	Plotseling	Ineens
PAPIER	Document	Blaadje
STILTE	Rust	Zwijgen
BEHOREN	Toebehoren	Betamen
GEVECHT	Strijd	Kloppartij
