CAKE	Gebak	Lekkernij	Zoetigheid
DEMO	Vertoning	Voorbeeld	Try-out
DOCH	Maar	Evenwel	Echter
EZEL	Lastdier	Dom persoon	Koppig dier
JOOP	Jongensnaam	Voornaam	Mannennaam
MAND	Korf	Draagbak	Rieten bak
VEEN	Moeras	Turfgrond	Broekland
HOP	Klimplant	Vogelsoort	Sprong
PAP	Brij	Moes	Babyvoer
BORG	Garant	Zekerheid	Deposito
INCH	Duim	Beeldmaat	Lengtemaat
KIST	Krat	Vliegtuig	Bak
RIEM	Band	Lijn	Pak papier
GEN	Erffactor	DNA-stuk	Aanleg
JUF	Lerares	Docente
LOF	Bijval	Cichorei	Erkenning
AMBT	Functie	Post	Baan
BODY	Lichaam	Torso	Kleertje
CLIP	Klem	Knijper	Haarspeld
SPUL	Materiaal	Boeltje	Goedje
UNIT	Eenheid	Module	Onderdeel
VIEW	Uitzicht	Aanzicht	Weergave
VLAM	Vuurtong	Gloed	Vuur
WIET	Cannabis	Softdrug	Blowspul
HAK	Hiel	Verhoging
MOP	Grap	Kwinkslag	Pug
PIJL	Wijzer	Boogschot	Schicht
GRIP	Houvast	Greep	Macht
MITS	Indien	Als
POLS	Gewricht	Hartslag
REDE	Toespraak	Verstand	Ankerplek
ZALM	Vissoort	Trekvis	Roze vis
JET	Vliegtuig	Voornaam
LAM	Jong schaap	Verstijfd	Paasdier
RAT	Knaagdier	Sluwerd	Verrader
ROK	Type kleding	Damesmode
TOL	Speelgoed	Heffing	Weggeld
BUIT	Roof	Vangst	Gewin
CAMP	Kamp	Kitsch
FORS	Stevig	Groot	Robuust
KALM	Rustig	Bedaard	Sereen
ZERO	Nul	Niets	Nulpunt
LINT	Strook	Band	Sierband
PAGE	Bladzijde	Hofjongen	Webpagina
PLAS	Poel	Meertje	Water
SOUL	Ziel	Popgenre
DAL	Vallei	Laagte	Kloof
HOPE	Hoop	Verlangen	Wens
KICK	Schop	Trap	Sensatie
ROTS	Gesteente	Klip	Kei
VLUG	Snel	Rap	Vlot
KAS	Serre	Geldla	Fonds
LED	Lampje	Diode	Lichtbron
SOM	Uitkomst	Bedrag	Getal
WEI	Grasland	Melkvocht	Veld
WIJF	Vrouwmens	Feeks	Kenau
KAAL	Zonder haar	Berooid	Bloot
KOEL	Fris	Kil	Onbewogen
PIER	Steiger	Worm	Havendam
TUIG	Gareel	Schorem	Gerei
VLOT	Vaartuig	Soepel	Rap
JEE	Uitroep	Tjonge	Gossie
CLAN	Stam	Kliek	Familie
POOL	Zwembad	Balspel	Groep
WAND	Muur	Schot	Vlak
NV	Bedrijf (afk.)	Firma (afk.)	Concern (afk.)
JAM	Confituur	Beleg	Marmelade
RIJP	Volgroeid	Vorst	Klaar
YES	Absoluut	Jazeker	Akkoord
CAST	Bezetting	Acteurs	Rollen
DUIK	Sprong	Plons	Dompeling
LOOD	Metaal	Gewicht	Plomb
PEER	Vrucht	Gloeilamp	Kop
DOG	Hondenras	Hond	Waakhond
EED	Gelofte	Belofte
TIK	Klap	Aanraking	Klopje
WEE	Pijnkreet	Ellende	Smart
BEET	Hapte	Hap	Kroot
JOOD	Israëliet	Hebreeër	Gelovige
KLEM	Knijper	Vast	Val
PONY	Klein paard	Kapsel
PRET	Plezier	Lol	Jolijt
ZAAD	Pit	Kiem	Korrel
AR	Slee	Edelgas
MKB	Bedrijven (afk.)	Sector (afk.)
VEL	Blad	Huid	Papier
WIJD	Breed	Ruim	Groot
GOAL	Doelpunt	Score	Treffer
HYPE	Rage	Trend	Gekte
WAVE	Golf	Stroming	Deining
ZANG	Vocaal	Melodie	Koorwerk
HUT	Optrekje	Cabine	Keet
ODE	Lofdicht	Loflied	Gedicht
ACCU	Batterij	Voeding
BEAT	Ritme	Maat	Dreun
KAAK	Gebit	Strafpaal	Wang
KLEI	Leem	Aardsoort	Modder
PALM	Handvlak	Boom
SHOT	Opname	Borrel	Beeld
TALK	Gesprek	Mineraal	Interview
ZULK	Zodanig	Dergelijk	Zo'n
DEK	Vloer	Overtrek	Bovenkant
KAR	Wagen	Voertuig	Rijtuig
KIT	Set	Siliconen	Pakket
PAT	Remise	Onbeslist	Bandje
VWO	Onderwijs (afk.)	Diploma (afk.)	Niveau (afk.)
COUP	Putsch	Zet
EXPO	Beurs	Vertoning	Show
HOES	Overtrek	Omslag	Foedraal
KRIJT	Kalksteen	Wit poeder	Tekenstof
PASS	Kaart	Toegang
PUIN	Gruis	Afval	Brokken
KAM	Getand voorwerp	Bergrug	Richel
KID	Jochie	Kereltje	Jong kind
MOM	Dekmantel	Schijn	Mama
OCH	Uitroep	Ach	Helaas
POL	Bosje	Kluit	Bundel
PLAK	Schijf	Medaille	Aanslag
SNOR	Knevel	Baardhaar	Vlot
VLEK	Smet	Plek	Klad
GGZ	Zorgvorm (afk.)	Hulp (afk.)	Sector (afk.)
LAT	Balk	Doelpaal	Krediet
SEC	Puur	Droog	Eenvoudig
VAR	Jonge stier	Videohulp
BONT	Pels	Kleurrijk	Divers
DROP	Zoethout	Druppel	Snoepgoed
HARE	Bezittelijk vnw	Van haar
PAUW	Siervogel	Trotse vogel	Statig dier
REUS	Kolos	Titaan	Grote kerel
SAFE	Kluis	Brandkast	Veilig
TOOL	Werktuig	Programma	Apparaat
VEER	Pluim	Spiraal	Pont
BIJL	Hakmes	Kapmes	Werktuig
DOS	Tooi	Systeem (afk.)	Kledij
ELS	Boomsoort	Voornaam	Loofboom
HAP	Beet	Mondvol	Snack
PIL	Tablet	Medicijn	Capsule
PIT	Kern	Fut	Energie
KLIM	Helling	Bergtocht	Stijging
ARK	Woonboot	Vaartuig	Boot
PIN	Code	Priem	Speld
RUW	Oneffen	Grof	Onbewerkt
SIM	Chipkaart	Kaartje
BAAT	Nut	Voordeel	Profijt
FIAT	Akkoord	Automerk	Permissie
GALA	Feest	Bal	Ceremonie
HAAS	Hardloper	Filet	Springer
HEKS	Tovenares	Feeks	Toverkol
NOTA	Rekening	Factuur	Memo
STEP	Autoped	Danspas	Voertuig
WAAL	Rivier	Belg	Rijntak
ZEIL	Doek	Linoleum	Tentdoek
HU	Kreet	Roep
REM	Stop	Eenheid	Stopper
SOL	Noot	Oplossing
WEN	Pas aan	Accepteer	Raak gewoon
AKTE	Document	Diploma	Contract
PIEK	Top	Spits	Toppunt
POLO	Balsport	Shirt	Automodel
ROEM	Faam	Glorie	Eer
BH	Beha	Ondergoed (afk.)
IC	Afdeling (afk.)	Spoedzorg
MAL	Gek	Sjabloon	Zot
RUS	Slavisch	Moskoviet
AMEN	Dat zij zo	Zo zij het	Kerkwoord
GANS	Trekvogel	Geheel	Vogel
GIFT	Schenking	Cadeau	Vergif
POMP	Toestel	Vulpunt	Zuiger
POOT	Ledemaat	Steun	Klauw
SEIN	Teken	Signaal	Wenk
WADE	Gewaad	Kleed	Lijkdoek
HIV	Virus	Aidsvirus	Infectie
PAL	Onderdeel	Recht	Vlak bij
WOL	Garen	Vacht	Textiel
BASE	Loog	Honk	Fundament
BLIJK	Teken	Bewijs	Uiting
FLOW	Ritme	Stroming	Vlotheid
HEMD	Shirt	Singlet	Lijfje
VONK	Sprankje	Gloed	Flits
WIER	Algen	Zeeplant	Betr. vnw
DIEF	Boef	Rover	Insluiper
EREN	Huldigen	Loven	Prijzen
HEIL	Welzijn	Redding	Zegen
KNIP	Beurs	Klik	Kiekje
PARA	Springer	Latex	Militair
ROUW	Verdriet	Smart	Leed
WERF	Dok	Terrein	Kade
GIN	Jenever	Drank	Borrel
RUM	Drank	Borrel	Stokerij
DOOF	Niet horend	Geblust
DUIF	Postvogel	Vogel	Tortel
KOOL	Groente	Brandstof	Grap
MANS	Bekwaam	Kundig	Capabel
WAKE	Nachtwaak	Vigilie	Stille tocht
ZOAL	Onder meer	Onder andere	Bijvoorbeeld
BAH	Uitroep	Getver	Foei
KIN	Onderkaak	Gezicht
MOT	Ruzie	Insect	Twist
GATE	Poort	Uitgang	Schandaal
HERT	Ree	Hoefdier	Wild
