GETIJ	Eb en vloed	Waterpeil	Springtij
REUK	Geur	Odeur	Lucht
TUK	Dutje	Slaapje	Belust
DRAW	Golfterm	Loting	Gelijke stand
HOON	Spot	Schimp	Smaad
LALA	Matig	Zozo	Doorsnee
OHM	Weerstand	Yogaklank	Fysicus
SKA	Dansstijl	Reggae	Karibisch
TBC	Longkwaal	Infectie	TB (afk.)
AZEN	Begeren	Beloeren	Verlangen naar
DADA	Antikunst	Rage	Hobby
GRIM	Schmink	Make-up	Poeder
JOCH	Jongen	Knaap	Kereltje
KORF	Mand	Basket	Rieten mand
OLIJF	Vrucht	Groen fruit	Groentint
PULS	Trilling	Signaal	Hartslag
TROM	Slagwerk	Pauk	Roffel
BUN	Visbak	Leefnet	Viskaar
MUD	Graanmaat	Korenmaat	Modder
LEEM	Klei	Kleigrond	Aarde
PEES	Tendon	Zeen	Spierband
PITA	Plat brood	Broodje	Oosters brood
TELG	Nazaat	Spruit	Kind
ZEEF	Vergiet	Filter	Doorslag
AAL	Paling	Gier	Mestvocht
BOF	Meevaller	Mazzel	Parotitis
KUL	Onzin	Larie	Nonsens
FOND	Decor	Bodem	Bouillon
GROL	Grap	Mop	Kolder
KOOT	Vingerbot	Dobbelbot	Teenlid
LYNX	Los	Wildekat	Roofdier
TIER	Raas	Niveau	Foetert
AST	Twijg	Rank	Zijtak
SOP	Zeepwater	Schuim	Waswater
FERM	Stevig	Flink	Kordaat
LEUS	Slogan	Motto	Kreet
WIES	Groeide	Nam toe	Voornaam
OEF	Poeh	Zucht	Uitroep
TOK	Getik	Klop	Gekakel
ACNE	Puistjes	Huidkwaal	Pukkels
BAST	Schors	Schil	Omhulsel
FARO	Kaartspel	Bierstijl	Gokspel
LIRA	Munt	Italiaans	Turkse munt
PUIK	Best	Prima	Piekfijn
ETUI	Foedraal	Koker	Hoesje
FLIK	Agent	Diender	Smeris
FLOR	Gistlaag	Gistvlies	Bloem
HADJ	Bedevaart	Mekkareis	Vijfde zuil
WILG	Treurboom	Loofboom	Boomsoort
DIJ	Bovenbeen	Been	Ham
HIK	Ademstoot	Krampje	Reflex
TUT	Speen	Fopspeen	Ouwe sok
