REGIME	Bewind	Stelsel
VOOROP	Als eerste	Op kop
WEBSHOP	Webwinkel	Online winkel
ZEVENDE	Na de zesde	Ordinaal
ALHOEWEL	Hoewel	Ofschoon
OPBOUWEN	Bouwen	Vormen
AANGELEGD	Bestemd	Ontworpen
INGEVOERD	Toegepast	Gebruikt
KARDINAAL	Prelaat	Kerkvorst
BESCHIKKEN	Bepalen	Regelen
OPMERKELIJK	Opvallend	Bijzonder
SCHILDEREN	Verven	Afbeelden
VASTHOUDEN	Klemmen	Grijpen
VERGUNNING	Licentie	Concessie
ADVERTENTIE	Annonce	Reclame
BETROUWBAAR	Vertrouwd	Degelijk
NABIJGELEGEN	Dichtbij	Vlakbij
DUIDELIJKHEID	Klaarheid	Evidentie
BOTEN	Schepen	Sloepen
DRINK	Neem een slok	Ledig je glas
TYPEN	Tikken	Soorten
BRIDGE	Kaartspel	Denksport
KOFFER	Reistas	Valies
RELLEN	Onlusten	Oproeren
SENAAT	Eerste Kamer	Wetgever
ZINNEN	Peinzen	Gedachten
DAARUIT	Vandaan	Uit die plaats
DEKKING	Hoes	Polis
GEPRAAT	Gekwebbel	Geklets
RELEASE	Uitgave	Lancering
JONATHAN	Appelras	Voornaam
OVERNAME	Aankoop	Koop
STRALING	Radiatie	Emissie
VERDOMME	Shit	Nou zeg
WIJZIGING	Mutatie	Correctie
BEMANNING	Equipage	Crew
BEVRIJDING	Ontzet	Vrij maken
COMMUNITY	Kring	Netwerk
EVENTUEEL	Misschien	Wellicht
FILOSOFIE	Denkwijze	Leer
UITGERUST	Fris	Verkwikt
VRIJWILLIG	Spontaan	Onbetaald
LEERKRACHT	Docent	Leraar
APPEL	Vrucht	Oproep
BOCHT	Kromming	Draai
DEKEN	Sprei	Plaid
MOLEN	Bouwwerk	Maalderij
SMART	Verdriet	Leed
STAAL	Metaal	Monster
CAMPUS	Terrein	Kampweide
CASINO	Speelhal	Gokhuis
DALING	Afname	Neergang
KELDER	Krocht	Berging
ONRUST	Beroering	Agitatie
SCHUUR	Loods	Opslag
TASSEN	Zakken	Stapelen
ACTRICE	Speelster	Filmster
BEROEMD	Vermaard	Befaamd
CAMPING	Kampweide	Terrein
DIVISIE	Afdeling	Eenheid
KLAPPEN	Applaus geven	Kletsen
KLINIEK	Praktijk	Gasthuis
STERKTE	Kracht	Aantal
ACADEMIE	Instituut	School
ARGUMENT	Bewijs	Motief
SCHILDER	Verver	Meester
VOORWERP	Ding	Artikel
VROUWTJE	Wijfje	Dametje
AANKLACHT	Klacht	Aangifte
HERHALING	Repetitie	Reprise
OLYMPISCH	Van de Spelen	Sportief
OVERWEGEN	Afwegen	Bedenken
UITGEVERIJ	Drukkerij	Boekhuis
UITZOEKEN	Kiezen	Natrekken
AANSTAANDE	Verloofde	Naderend
ECHTGENOTE	Gade	Partner
BEOORDELING	Evaluatie	Recensie
DEPARTEMENT	Afdeling	Sectie
BUITENGEWOON	Bijzonder	Extreem
HOOFDKANTOOR	Centrale	Zetel
WERKLOOSHEID	Bijstand	Geen baan
METEN	Peilen	Afpassen
TRAAG	Langzaam	Sloom
VIEZE	Vuile	Smerige
ZETEL	Stoel	Zitplaats
HEILIG	Gewijd	Sacraal
INZIEN	Begrijpen	Beseffen
METAAL	Element	Materiaal
NAJAAR	Herfst	Tweede helft
PILOOT	Vlieger	Kapitein
POSTER	Affiche	Wandplaat
RONDJE	Ommetje	Drankje
STRENG	Strikt	Hard
TICKET	Kaartje	Bon
VISSER	Hengelaar	Beroep
ALSMEDE	Evenals	Alsook
FLESSEN	Flacons	Bedotten
HIERUIT	Uit deze	Daaruit
OMTRENT	Ongeveer	Aangaande
VREUGDE	Plezier	Blijheid
ACHTEREN	Rugzijde	Staart
BETALING	Geld geven	Storting
BEVRIEND	Als vrienden	Vertrouwd
EVENTJES	Kort	Momentje
FANTASIE	Verzinsel	Droom
HERKOMST	Afkomst	Oorsprong
LOSLATEN	Vrijgeven	Vrijlaten
KUNSTWERK	Creatie	Sculptuur
LOGISTIEK	Planning	Aanvoer
MEDELIJDEN	Compassie	Erbarmen
NIEUWBOUW	Vers gebouw	Bouwplan
HERKENBAAR	Duidelijk	Typerend
SCHOOLJAAR	Leerjaar	Cursus
CONSTRUCTIE	Bouwwerk	Opbouw
VERKRACHTING	Misbruik	Schennis
BRONS	Derde plaats	Legering
KETEN	Reeks	Schakels
KIJKER	Oog	Telescoop
POTEN	Benen	Planten
SLANG	Buis	Reptiel
STORE	Zonwering	Gordijn
BOSTON	Dans	Wals
MASKER	Mombakkes	Kap
OPVANG	Onderdak	Crèche
VOLUME	Inhoud	Omvang
ACTUEEL	Recent	Modern
BUURMAN	Omwonende	Naaste
TEVOREN	Vooraf	Eerder
TREFFEN	Ontmoeten	Raken
FENOMEEN	Wonder	Talent
REGELING	Afspraak	Schikking
SCENARIO	Draaiboek	Script
BETREKKEN	Kopen	Verwerven
VERLENGEN	Rekken	Vervolgen
VERVULLEN	Uitvoeren	Voldoen
COMBINEREN	Mengen	Verenigen
ESSENTIEEL	Cruciaal	Wezenlijk
PUBLICEREN	Uitgeven	Openbaren
VERMELDING	Notitie	Aanhaling
INDIVIDUEEL	Apart	Eigen
LIDMAATSCHAP	Deelname	Status
BRAVO	Chapeau	Hoera
BRUID	Verloofde	Getrouwde
CIJFER	Getal	Punt
ENGEL	Hemelbode	Serafijn
LEVEL	Niveau	Stadium
OPERA	Zangspel	Theater
SLAAF	Dienaar	Knecht
AVENUE	Laan	Boulevard
BAGAGE	Reisgoed	Koffers
CARTER	Oliepan	Motordeel
EEUWIG	Oneindig	Blijvend
FINISH	Einde	Aankomst
JEETJE	Verrek	Tjonge
SCHOEN	Muil	Pump
STALEN	Metalen	Hard
ELEMENT	Stof	Onderdeel
ELKAARS	Onderling	Mekaars
TOETSEN	Testen	Examens
BEVALLEN	Baren	Aanstaan
GEWOONTE	Gebruik	Routine
HERHALEN	Repeteren	Overdoen
OGENBLIK	Moment	Tel
OPGELEGD	Verplicht	Bevolen
OPROEPEN	Bellen	Ontbieden
SCHOUDER	Gewricht	Deel van arm
VERDELEN	Splitsen	Uitdelen
EXPEDITIE	Zending	Tocht
HANDHAVEN	Bewaken	In stand houden
INSTELLEN	Oprichten	Invoeren
PERMANENT	Blijvend	Constant
RENOVATIE	Herbouw	Verbouw
AFSLUITING	Einde	Afronding
ARRESTATIE	Vangst	Klopjacht
PRIORITEIT	Voorrang	Hoofdzaak
VERBRANDEN	Verteren	Verkolen
GEBRUIKELIJK	Gangbaar	Normaal
INGEWIKKELD	Complex	Moeilijk
VERSTERKING	Reserve	Steun
BLOND	Licht van haar	Geelbruin
GETAL	Cijfer	Nummer
GRAAD	Titel	Niveau
KOGEL	Patroon	Munitie
MEREN	Vastmaken	Aanleggen
PORTO	Postgeld	Havenstad
TABEL	Overzicht	Schema
BLEKEN	Witten	Kleur verliezen
HOCKEY	Stickspel	Teamsport
OPBOUW	Structuur	Bouw
POSTEN	Plaatsen	Brieven
