GEK	Mal	Dwaas	Getikt
LOS	Niet vast	Vrij	Apart
LIJST	Opsomming	Rangschikking	Kader
STEM	Geluid	Keuze	Uiting
MIS	Fout	Onjuist	Kerkdienst
CLUB	Vereniging	Sociëteit	Golfstok
LA	Muzieknoot	Opbergvak	Schuifvak
PIJN	Leed	Smart	Kwelling
LINK	Riskant	Verwijzing	Sluw
PUNT	Stip	Leesteken	Aspect
FIJN	Prettig	Dun	Aangenaam
KOP	Hoofd	Beker	Voorkant
LIET	Stond toe	Tolereerde	Gunde
LIVE	Rechtstreeks	Direct	Ter plekke
DORP	Gehucht	Plaatsje	Kleine plaats
RAAD	Advies	Bestuur	Gok
REIS	Tocht	Trip	Vakantie
STEL	Paar	Span	Neem aan
IE	Persoonlijk vnw	Hij	Mannelijk vnw
ACHT	Telwoord	Cijfer 8	Waardeert
BAAN	Werk	Strook	Omloop
HALF	Ten dele	Gedeeld	Niet compleet
RUIM	Groot	Riant	Fors
RUST	Kalmte	Stilte	Pauze
LES	Onderricht	Leerstof	Instructie
BANK	Zitmeubel	Geldinstelling	Zandplaat
HOOG	Verheven	Groot	Niet laag
KERK	Godshuis	Bedehuis	Gebedshuis
TAAL	Spraak	Idioom	Jargon
WEST	Windstreek	Richting	Avondland
BRON	Oorsprong	Fontein	Herkomst
FEIT	Waarheid	Gegeven	Realiteit
HEET	Warm	Gloeiend	Is genaamd
HEER	Meneer	Edelman	Gentleman
JONG	Niet oud	Pril	Welp
SLAG	Gevecht	Klap	Type
ENE	Bepaalde	Zekere	Enkele
WIT	Bleek	Blank	Kleur van melk
HAAG	Heg	Struikrij	Grens
VAL	Tuimeling	Klem	Neergang
FOUT	Onjuist	Vergissing	Blunder
HAAT	Afkeer	Weerzin	Rancune
PARK	Plantsoen	Groenzone	Speeltuin
LOOP	Gang	Buis	Wandeling
STOP	Zekering	Kurk	Halt
BAND	Muziekgroep	Rubber om wiel	Lint
HOND	Viervoeter	Blaffer	Trouwe vriend
WEES	Ouderloos kind	Zonder ouders
DEUR	Toegang	Ingang	Poort
VIEL	Tuimelde	Kwam neer	Zakte door
LIJN	Streep	Draad	Koers
SEKS	Vrijen	Coïtus	Gemeenschap
WELK	Vragend vnw	Wat voor
POST	Brieven	Ambt	Doelpaal
LAST	Vracht	Hinder	Gewicht
NAME	Reputatie	Faam	Naam (Engels)
VLAK	Plat	Zone	Dichtbij
VOLK	Mensen	Natie	Stam
RIJ	Reeks	File	Linie
BOOS	Kwaad	Nijdig	Woedend
KOST	Prijs	Voedsel	Vergt
