woord	huidige_omschrijving
WEIGEREN	Niet voldoen
CULTUREEL	Met betrekking
PROCEDURE	Werkwijze
STANDPUNT	Houding
PLOTSELING	Snel en onverwacht
WAARDERING	Hechten
BASISSCHOOL	School
COMMERCIEEL	Zakelijk
VERPLAATSEN	Iets van de ene plaats
ARCHITECTUUR	Bouwstijl
COMMUNICEREN	Door middel
NIEUWSGIERIG	Verlangend
MAAGD	Vrouwelijke bediende
BAKKER	Iemand die brood
PLEGEN	Begaan
GEDICHT	In versmaat
STABIEL	Terugkerend
TRAJECT	Af te leggen
AANGEVEN	Aanreiken
DOELPUNT	Punt dat men bij spelen
OVERGANG	Van een toestand
UITMAKEN	Einde maken
VOORJAAR	Lente
WISSELEN	Veranderen
BRANDSTOF	Stof waaruit door middel
ORIGINEEL	Voorwerp dat is gemaakt
WANDELING	Lopend afleggen
VERRASSEND	Opmerkelijk
BEGELEIDING	Personen
UITNODIGING	Verzoek
VOORBEREIDEN	Handelingen verrichten
CHILI	Pittige saus gemaakt
DROGE	Droog
HETEN	Heet maken
FYSIEK	Betrekking hebbend
IDIOOT	Zwakzinnig
KEIZER	Monarch
REVIEW	Inspectie
DAGBLAD	Klassiek massamedium
INTERIM	Tijdelijke werkkracht
STREVEN	Doel willen bereiken
TRAPPEN	Voet met vaart
DOCUMENT	Geschrift
FAVORIET	Meest prettige
ONGEACHT	Los van
OPHOUDEN	Omhoog houden
SCHATTIG	Leuk
TOEGEVEN	Toestaan
AMBULANCE	Voertuig om gewonden
BESLISSEN	Verschil uitmaken
BEZETTING	Toestand
CHOCOLADE	Lekkernij
ABONNEMENT	Regeling
VERMINDEREN	Afnemen in aantal
VOORUITGANG	Proces
PIZZA	Gerecht
POWER	Kracht
DUIKEN	Snel naar beneden gaan
KOPPEL	Tweetal
NADRUK	Bijzondere aandacht
SCOREN	Doelpunt maken
TUNNEL	Iets dat lang
WENNEN	Gewoon worden
AVONTUUR	Onderneming
CREATIEF	Scheppend
OPZETTEN	In volume toenemen
TOERISME	Reizen
UITKOMEN	Naar buiten komen
ZILVEREN	Tweede plaats
VERBLIJVEN	Tijdelijk wonen
VERWERKEN	Grondstof
CAPACITEIT	Vermogen
ONTSPANNEN	Trachten de spanningen
SMARTPHONE	Mobiele telefoon
TERUGKEREN	Gaan naar een plaats
AANSLUITING	Verbinding
DIVERSITEIT	Aanwezigheid van mensen
ARBEIDSMARKT	Interactie tussen vraag
SAMENGESTELD	Uit delen opgebouwd
TRADITIONEEL	Zoals de gewoonte
BLOEM	Deel van plant
HEKEL	Sterke afkeer
LABEL	Kaart
