woord	omschrijving	bron
DE	Lidwoord	hand
DE	Bepaald lidwoord	hand
HET	Lidwoord	hand
EEN	Telwoord	hand
EEN	Lidwoord	hand
EN	Voegwoord	hand
EN	Plus	hand
OF	Voegwoord	hand
OF	Dan wel	hand
IN	Niet uit	hand
IN	Populair	hand
OP	Verbruikt	hand
IK	Spreker	hand
IK	Persoonlijk vnw.	hand
JE	Jij	hand
JE	Jou	hand
WE	Wij	hand
ZE	Zij	hand
TE	Overmatig	hand
ER	Daar	hand
ER	Op die plaats	hand
OM	Teneinde	hand
ZO	Op die manier	hand
ZO	Dadelijk	hand
AL	Reeds	hand
AL	Iedereen	hand
NA	Achter	hand
NA	Later dan	hand
NU	Thans	hand
NU	Op dit moment	hand
JA	Bevestiging	hand
JA	Zeker wel	hand
ME	Mij	hand
MA	Moeder	hand
PA	Vader	hand
UI	Bolgewas	hand
UI	Grap	hand
UW	Van u	hand
AF	Klaar	hand
AF	Gereed	hand
AS	Spil	hand
AS	Draaipunt	hand
AR	Slee	hand
EB	Laagwater	hand
EB	Afgaand tij	hand
EL	Oude lengtemaat	hand
EI	Product van de kip	hand
EI	Paasartikel	hand
OS	Rund	hand
OS	Trekdier	hand
RA	Rondhout	hand
RA	Egyptische zonnegod	hand
PI	Griekse letter	hand
PI	Wiskundig getal	hand
KA	Kraaiachtige	hand
AI	Luiaard	hand
AI	Uitroep van pijn	hand
HO	Halt	hand
HO	Stop	hand
DO	Muzieknoot	hand
RE	Muzieknoot	hand
MI	Muzieknoot	hand
FA	Muzieknoot	hand
LA	Muzieknoot	hand
SI	Muzieknoot	hand
ES	Boom	hand
ES	Muzieknoot	hand
EG	Werktuig van de boer	hand
EG	Landbouwtuig	hand
ARA	Papegaai	hand
ARA	Bonte vogel	hand
EER	Aanzien	hand
EER	Roem	hand
EER	Voordat	hand
ELS	Boom	hand
ELS	Priem	hand
EDE	Plaats in Gelderland	hand
EDE	Gelderse plaats	hand
EPE	Plaats in Gelderland	hand
EPE	Veluwse plaats	hand
AAR	Bloeiwijze	hand
EED	Plechtige belofte	hand
EED	Gelofte	hand
ETS	Prent	hand
ETS	Kunstwerk	hand
ALE	Engels bier	hand
ALE	Brits bier	hand
ERE	Aanzien	hand
ERE	Hulde	hand
NES	Landtong	hand
NES	Uitstekend land	hand
ONE	Engels telwoord	hand
ONE	Een in Engeland	hand
ODE	Lofdicht	hand
ODE	Gedicht	hand
IJS	Bevroren water	hand
IJS	Lekkernij	hand
EIK	Loofboom	hand
EIK	Boom	hand
IEP	Olm	hand
IEP	Boom	hand
DEN	Naaldboom	hand
DEN	Boom	hand
ELF	Getal	hand
ELF	Fee	hand
ELF	Voetbalploeg	hand
OER	Grondsoort	hand
OER	Zeer oud	hand
ERA	Tijdperk	hand
ERA	Tijdvak	hand
PIT	Kern	hand
PIT	Zaad	hand
ROB	Zeehond	hand
ROB	Zeezoogdier	hand
REE	Hertachtige	hand
REE	Bosdier	hand
EMU	Loopvogel	hand
EMU	Vogel uit Australie	hand
AAP	Primaat	hand
AAP	Klimdier	hand
ENG	Nauw	hand
ENG	Griezelig	hand
ERG	Zeer	hand
ERG	Heel	hand
OOM	Familielid	hand
OMA	Grootmoeder	hand
OPA	Grootvader	hand
PAP	Brij	hand
PAP	Slappe kost	hand
KIP	Pluimvee	hand
KIP	Hoen	hand
KAT	Huisdier	hand
KAT	Poes	hand
KOE	Rund	hand
KOE	Melkgever	hand
NOR	Gevangenis	hand
NOR	Bajes	hand
BAK	Kom	hand
BAK	Gevangenis	hand
BES	Vrucht	hand
BES	Muzieknoot	hand
ONS	Gewichtje	hand
OOR	Handvat	hand
OOG	Zintuig	hand
OOG	Kijker	hand
IJL	Snel	hand
IJL	Dun	hand
IJK	Keur	hand
IJK	Merk	hand
NEO	Nieuw	hand
NEK	Hals	hand
NEK	Lichaamsdeel	hand
NET	Zojuist	hand
NET	Keurig	hand
NON	Zuster	hand
NON	Religieuze	hand
PEN	Schrijfgerei	hand
PEN	Veer	hand
POT	Kookgerei	hand
POT	Vat	hand
PUT	Waterbron	hand
PUT	Bron	hand
RAM	Schaap	hand
RAM	Sterrenbeeld	hand
RAT	Knaagdier	hand
RIJ	Reeks	hand
RIJ	File	hand
REM	Stopmiddel	hand
REM	Stopper	hand
ROK	Kledingstuk	hand
RUG	Lichaamsdeel	hand
RUG	Achterkant	hand
SLA	Groente	hand
SLA	Kropgewas	hand
SOK	Kous	hand
SOK	Kledingstuk	hand
TAK	Twijg	hand
