GEK | Draaibare kap
LOS | Zonder vaste verbinding
LIJST | Opsomming van zaken
STEM | Geluid
MIS | Fout
CLUB | Besloten gemeenschap
LA | Zesde muzieknoot
PIJN | Lichamelijk leed
LINK | Gevaarlijk
PUNT | Klein deel
FIJN | Van geringe dikte
KOP | Hoofd van een dier
LIET | Lied
LIVE | Rechtstreeks
DORP | Kleine
RAAD | Orgaan dat bestaat
REIS | Grote
STEL | Klein aantal
IE | Beek
ACHT | Traject in de vorm
BAAN | Werk
HALF | Helft
RUIM | Van grote omvang
RUST | Tijdloze toestand
LES | Hen
BANK | Breed voorwerp
HOOG | Vergevorderd
KERK | Openbaar gebouw
TAAL | Systeem
WEST | Richting
BRON | Begin
FEIT | Gebeurtenis
HEET | Heel warm
HEER | Man
JONG | Van geringe leeftijd
SLAG | Militair treffen
ENE | Vorm van één
WIT | Verstand
HAAG | Afscheiding bestaande
VAL | Algemeen
FOUT | Onjuist
HAAT | Sterk gevoel
PARK | Groengebied bedoeld
LOOP | Voorste deel
STOP | Zekering
BAND | Ring om een voorwerp
HOND | Zoogdier
WEES | Zijn
DEUR | Afsluiting
VIEL | Veel
LIJN | Getekende streep
SEKS | Gevoelens en handelingen
WELK | Wat
POST | Toegezonden materiaal
LAST | Iets wat een mens hindert
NAME | Naam
VLAK | Zonder bergen
VOLK | Groep mensen
RIJ | Geordende opstelling
BOOS | Kwaad
KOST | Voeding
STIL | Onbeweeglijk
BUS | Blikken bewaardoos
HOI | Hallo
BABY | Mens in de eerste fase
OOG | Elk van de putjes
WIJK | Bewoond deel van een stad
GANG | Lange
MOND | Ingang
BOUW | Doen verrijzen
BEL | Klok
MAMA | Informele benaming
EX | Voormalige echtgenoot
LAG | Lachen
RIJK | Overvloedig
RUG | Achterkant
DING | Voorwerp dat geen dier
SHOW | Uitvoering
TYPE | Soort
WARM | Prettig overkomend
ZIEK | Verkerend in een toestand
KOOP | Handeling
OOST | Richting
BOS | Groep bomen
ROOD | Primaire kleur
ERIN | Olifant
GOUD | Waardbasis
LEEK | Prei
MUUR | Heel steile weg
WIJZE | Manier
EL | Hem
VUUR | Beschieting
MAAT | Kameraad
DAK | Deel dat een gebouw
NEER | Stroming
SINT | Heilige
TIPS | Korzelig
MEDE | Ook
STIJL | Post
WIND | Stroming
PRO | Voor
HOEF | Overdekking
HOEK | Punt waar twee benen
LAAG | Sociale klasse
BRUG | Kunstmatige weg
DIEP | Waar de bodem ver
KAMP | Plaats
LAGE | Maken
LIEF | Vriendelijk
TUIN | Omheind stuk grond
MIN | Vrouw
CODE | Volgorde van cijfers
LEER | Stof vervaardigd
MEID | Jonge vrouw
VELD | Open
BAL | Bolvormig voorwerp
DES | Om die reden
PAK | Hoeveelheid
BOOM | Meerjarige plant
VLAG | Lap stof
VOET | Voortzetting
WENS | Verlangen
CITY | Stadscentrum
KUST | Waterkant langs de zee
SPIJT | Besef
KOUD | Met een lage temperatuur
MARK | Leen dat grensde
BAAS | Overste
DUUR | Benodigd tijdbestek
BAD | Voorwerp
THEE | Gedroogde bladeren
AS | Staafvormig voorwerp
PAD | Kikker
ANTI | Tegenstander
BOOT | Klein vaartuig
GAST | Wie ergens ontvangen
MERK | Symbool of naam
TEST | Probeersel
AT | Aan
OMA | Moeder van een ouder
TON | Vat in de vorm
BERG | Grote hoeveelheid
BIER | Alcoholische drank
DAME | Beschaafde vrouw
HAAL | Heftige beweging
RAAR | Vreemd
WARE | Waar
ARM | Onderdeel
DOM | Dak in de vorm
LEEG | Zonder inhoud
STOF | Materiaal
TIME | Tijd
VIS | Gewerveld dier
KLAS | Groep leerlingen
PERS | Instrument
LAS | Vermoeid
DATE | Afspraakje
GLAS | Blauw
GOLF | Meestal
SLIM | Intelligent
TOUR | Rondreis
BIG | Jong van het varken
MOE | Geneigd tot rusten
OUT | Uit
HANS | Van hem
KEEK | Uitzicht
UNIE | Samen een eenheid
MA | Moeder
HOF | Uitgebreide huishouding
ARME | Iemand die weinig bezit
GAME | Onderdeel
MATE | Graad
NEUS | Orgaan
PAUS | Hoofd
SHIT | Rommel
SLOT | Einde
TRAP | Verbinding tussen twee
LEG | Been
LUL | Scheldwoord voor een man
TAS | Kopje
BOB | Type slee
DODE | Iemand die dood is
JACK | Soort jasje
KONT | Billen
RING | Cirkelvormig sieraad
ZAK | Slappe
DATA | Gegevens
GRAP | Verhaal dat of handeling
HELD | Rolmodel
HOMO | Mens
RACE | Loop
BAR | Kroeg
DIK | Ruim
EER | Voordat
KAT | Vals meisje
HOME | Opvang
KIES | Vrij grote tand
MISS | Juffrouw
PLUS | Groter dan nul
CD | Afkorting
