woord	lengte	rang	omschrijving	bron
DE	2	1	Per	wiktionary
VAN	3	2	Quotatief	wiktionary
EEN	3	3	Geheel vormend	wiktionary
EN	2	4	Als verkorte aanduiding	wiktionary
IN	2	5	Gedurende	wiktionary
OP	2	6	Omhoog	wiktionary
IK	2	7	Zon	wiktionary
DAT	3	8	Voegwoord	wiktionary
VOOR	4	9	Dichterbij dan	wiktionary
JE	2	10	Van jij	wiktionary
TE	2	11	Naar	wiktionary
MET	3	12	En daarbij	wiktionary
ZIJN	3	13	Bestaan	wiktionary
NIET	4	14	Ontkenning	wiktionary
DIE	3	15	Sterven	wiktionary
ALS	3	16	Wanneer	wiktionary
ER	2	17	Onbepaald bijwoord	wiktionary
OM	2	18	Mens	wiktionary
MAAR	4	19	Bezwaar	wiktionary
AAN	3	20	Verbonden met	wiktionary
ZE	2	21	Zij	wiktionary
OOK	3	22	Daarnaast	wiktionary
DOOR	4	23	Oorzaak	wiktionary
UIT	3	24	Niet aan	wiktionary
NAAR	4	25	Onaangenaam	wiktionary
BIJ	2	26	Die leven van nectar	wiktionary
DAN	3	27	Tijdstip in de toekomst	wiktionary
DIT	3	28	Het	wiktionary
WAS	3	29	Groei	wiktionary
WE	2	30	Wij	wiktionary
WAT	3	31	Iets	wiktionary
OF	2	32	Ongeveer	wiktionary
OVER	4	33	Voorbij	wiktionary
HEBBEN	6	34	Bezitten	wiktionary
KAN	3	35	Serviesgoed	wiktionary
MEER	4	36	Groot water	wiktionary
ZO	2	37	Op die manier	wiktionary
AL	2	38	Reeds	wiktionary
GEEN	4	39	Niet één	wiktionary
MIJN	3	40	Plaats	wiktionary
WEL	3	41	Ontkenning weerleggend	wiktionary
TOT	3	42	Alle	wiktionary
WORDEN	6	43	Gaan zijn	wiktionary
NU	2	44	Om een overgang	wiktionary
HAAR	4	45	Haren	wiktionary
BEN	3	46	Zoon	wiktionary
VEEL	4	47	Groot	wiktionary
KUNNEN	6	48	In staat zijn	wiktionary
ME	2	49	Clitische vorm van mij	wiktionary
MOET	4	50	Dwang	wiktionary
HOE	3	51	Wat	wiktionary
NA	2	52	Dichtbij staand	wiktionary
WAAR	4	53	Aandeel	wiktionary
WERD	4	54	Waard	wiktionary
GOED	4	55	Kwaliteit bezittend	wiktionary
WIL	3	56	Bereidheid of zin	wiktionary
GAAN	4	57	Mogelijk zijn	wiktionary
ONZE	4	58	Zelfstandig	wiktionary
ZICH	4	59	Uzelf	wiktionary
DOEN	4	60	Actie ondernemen	wiktionary
HIER	4	61	Op deze plaats	wiktionary
DUS	3	62	Om die reden	wiktionary
TEGEN	5	63	Zijdelings aanleunend	wiktionary
MAKEN	5	64	In elkaar zetten	wiktionary
ALLEEN	6	65	Organische verbinding	wiktionary
MIJ	2	66	Wij	wiktionary
ONDER	5	67	Op een plaats	wiktionary
HAD	3	68	Zaad	wiktionary
TWEE	4	69	Getal tussen één en drie	wiktionary
WEER	4	70	Afweren	wiktionary
ZIEN	4	71	Waarnemen met het oog	wiktionary
MOETEN	6	72	Gedwongen zijn	wiktionary
WIJ	2	73	Meervoud	wiktionary
EERSTE	6	74	Nummer één van een rij	wiktionary
ECHT	4	75	Huwelijkse staat	wiktionary
EENS	4	76	Op enigerlei tijd	wiktionary
DAAR	4	77	Als locatief deel	wiktionary
HEEL	4	78	Niet stuk	wiktionary
TOCH	4	79	In weerwil van iets	wiktionary
DAG	3	80	Aanwezigheid	wiktionary
MEE	3	81	Plant	wiktionary
STAAT	5	82	Toestand	wiktionary
ZIJ	2	83	Vrouwelijk individu	wiktionary
ALLE	4	84	Elke	wiktionary
ZOALS	5	85	Op dezelfde manier	wiktionary
IETS	4	86	Zekere zaak	wiktionary
