TOPO	Verklikker	Spion	Schoolvak
ENK	Es	Akker	Bouwland
PUS	Etter	Wondvocht	Etterstof
MEUK	Rommel	Rotzooi	Prullaria
MIJNS	Bezittelijk vnw	Van mij	Genitief vorm
PIES	Plas	Urine	Zeik
GAG	Grap	Kwinkslag	Mop
HES	Overgooier	Kiel	Wapenrok
NOL	Heuveltje	Duintop	Verhoging
YAM	Knolgewas	Tropische knol
BONK	Brok	Klomp	Kluit
GRIL	Kuur	Nuk	Bevlieging
GROM	Snauw	Visafval	Nijdig geluid
JUTE	Vezelstof	Zakstof	Grove stof
KAUW	Zwarte vogel	Kraai	Vogel
ANK	Naam	Anna (kort)	Eigennaam
CUE	Aanwijzing	Sein	Keu
EEK	Schors	Run	Looibast
RIJS	Twijg	Teenhout	Wilgentak
HELA	Hei	Halt	Zeg
KOPIJ	Tekst	Drukwerk	Origineel
VELG	Wielrand	Rand	Rim
HUL	Kap	Muts	Hoofdtooi
KEK	Modieus	Stoer	Gaaf
AVIS	Advies	Mening	Oordeel
DRUP	Spatje	Restje	Beetje
HYPO	Suikerdip	Fixeer	Lening voor huis
ONYX	Edelsteen	Sieraad	Zwarte steen
WELP	Cub	Jong roofdier	Leeuwenjong
BIK	Voer	Hap	Eten
CES	Muzieknoot	C verlaagd	Notennaam
BARD	Minstreel	Skald	Dichter
CLOU	Pointe	Kern	Essentie
GARD	Roede	Twijg	Stok
GUTS	Holbeitel	Beitel
TIPI	Wigwam	Indiaanse tent	Spitse tent
TROG	Voerbak	Kuip	Voederbak
MOF	Duitser	Bontzak	Sok
BEDE	Gebed	Verzoek	Rekwest
HORS	Buiten	Behalve
KAAN	Wang	Vlies	Vetrestje
MAKI	Lemuur	Halfaap	Primaat
PETS	Klap	Mep	Tik
RAAT	Honingcel	Wascel
ROOI	Graaf uit	Kom rond
BUL	Stier	Diploma	Oorkonde
MUF	Duf	Bedompt	Benauwd
ZOG	Spoor	Golfslag
KUCH	Hoestje	Hoestbui
RATO	Evenredig	Pro rata
RIFF	Loopje	Motiefje
ZWIN	Kreek	Geul
FATS	Strook	Reep	Rand
GRIT	Lef	Durf	Gruis
POLK	Nest	Holletje	Kuiltje
RUNE	Teken	Symbool	Germaans schrift
PIJ	Habijt	Mantel	Ordekleed
OLM	Iep	Loofboom	Boomsoort
BIPS	Billen	Achterste	Kontje
COAT	Jas	Overjas	Mantel
