GETIJ | Periodieke wisseling
REUK | Van parfum
TUK | Korte periode
DRAW | Geslagen bal die licht
HOON | Honende uitlating
LALA | Middelmatig
OHM | SI-eenheid
SKA | Dansmuziek
TBC | Ziekte veroorzaakt
AZEN | Voorzien van aas
DADA | Europese beweging
GRIM | Kniesoor
JOCH | Jongeman
KORF | Mand van vlechtwerk
OLIJF | Vrucht van deze boom
PULS | Peul
TROM | Zwaar
BUN | Goed
MUD | Verouderde inhoudsmaat
LEEM | Kleiachtige
PEES | Uitloper van spierweefsel
PITA | Pitta
TELG | Lid van een familie
ZEEF | Werktuig met veel gaatjes
AAL | Mestvocht
BOF | Geluk
KUL | Teelbal
FOND | Achtergrond
GROL | Aardigheid
KOOT | Vingerlid
LYNX | Sterrenbeeld
TIER | Tijger
AST | Tak
SOP | Gewoonlijk warm water
FERM | Krachtig
LEUS | Devies
WIES | Wijs
OEF | Uitroep die inspanning
TOK | Geluid
ACNE | Puistjes
BAST | Buitenste laag
FARO | Vuurtoren
LIRA | Lier
PUIK | Uitstekend
ETUI | Hoes om voorwerpen
FLIK | Platte
FLOR | Laagje schimmel
HADJ | Islamitische bedevaart
WILG | Salix sp
DIJ | Die
HIK | Periodiek optredende
TUT | Speen
FRET | Dunne boor
ORKA | Walvissoort
PRAT | Merkbaar trots
RATS | Kliekjes
SOIT | Zij zo
RUI | Periodiek uitvallen
FLUX | Stroom
HEEM | Woonplaats
MERG | Zachte weefsel
OZON | Vorm van zuurstof
SPIJK | Soort lavendel
TRED | Spreeuw
VELO | Fiets
YOGI | Beoefenaar van de yoga
ECG | Rand
LIS | Plant
BOCK | Zwaar
FLAP | Bankbiljet
PEUK | Overblijfsel
YETI | Legendarisch monster
BEF | Kanten lapje
PEK | Bitumineuze vaste stof
PUF | Fut
TIC | Zenuwtrek
AFIJN | Enfin
BONS | Geluid veroorzaakt
EROS | Verlangen
KOLF | Instrument
MANI | Mij
NERF | Verdikte
TUBA | Derris
WRAP | Soort dunne
GIG | Lange
MEM | Borst
WIG | Metalen of houten blok
APEX | Top
RARA | Raad eens
SLIJK | Mengsel van aarde
TACT | Gevoel voor hetgeen
TAKS | Bepaalde hoeveelheid
VIDE | Hoge open ruimte
GFT | Groente fruit
HOR | Raamwerk met gaas
KAK | Ontlasting
RAK | Rek
AARS | Anus
BABI | Varkensvlees
EPOS | Verhaal
KLIT | Geslacht van planten
SMAK | Val eindigend
SPIJS | Bereid voedsel
TRES | Boordsel of oplegsel
BAAK | Vuurtoren
BIAS | Gunstig
TUTU | Rokje voor danseressen
AKI | Wie
ENT | Tak
TRA | Ander
BINT | Zijn
CHAI | Levend
KAKI | Dof
KUIS | Jonge koe
KUUB | Kubieke meter
LOOT | Plunderen
OMEN | Voorteken
SJAH | Koning van Perzië
FUT | Benodigde energie
PEL | Dweil
SIK | Dun puntig baardje
CODA | Staart
ERVE | Boerderij
LINO | Afdruk
LIRE | Naam voor de munteenheden
VEIL | Klimop
VJ | Iemand die videoclips
GOM | Gum
PUI | Voorgevel
ALLO | Knoflook
BRUT | Soort champagne
EELT | Harde verdikking
ERTS | Steen
IJDEL | Van iets dat het mooi
KELK | Soort drinkgerei
PUMP | Damesschoen
SLOF | Langwerpig voorwerp
STUW | Vaste waterkering
WULF | Gebogen
REI | Groep of kring
AMAI | Uitdrukking
FOEI | Uitroep van afkeer
JONK | Javaanse maat
PEET | Doopgetuige
PAF | Geluid
PPM | Parts per million
HELS | Woedend
MULO | Vierjarige vorm
PATS | Klap
PRUT | Modder
RUIN | Gecastreerde hengst
TAPS | Kegelvormig
BRIJ | Modder
CIS | Gelegen
KAF | Elfde letter
KAAI | Kade
PESO | Munteenheid
PRAK | Hoeveelheid fijngemaakte
UD | Universitair docent
NOP | Niet puntig uitsteeksel
VOD | Versleten stuk weefsel
VOF | Rechtsvorm
BRAS | Lijn verbonden
MIME | Theatervorm
PAIS | Toestand van rust
PERK | Grens
PLOF | Dof geluid
WEEL | Water
WOEF | Krachtig geluid
BONI | Batig slot
PONS | Instrument
PUTT | Golfterm
ZEUG | Vrouwelijk varken
DOF | Zonder weerschijn
GIT | Jullie twee
JAK | Kort jasje
KEU | Onmisbaar hulpmiddel
BAHT | Munteenheid van Thailand
BRUI | Slag
BVBA | Bedrijfsvorm lijkend
WEEN | Zijn
VIT | Wij
WAM | Huidplooi die afhangt
DOEG | Begroeting
DOOI | Smelten van ijs
IGLO | Traditionele
KLEF | Kleverig
SWAP | Derivaat
ZIER | Geringe hoeveelheid
HOM | Teelvocht
JOL | Klein soort boot
TOD | Waardeloze
WIK | Doodlopend stuk sloot
ALZO | Op deze manier
CRUX | Onoplosbaar
FIKS | Groot
KUIF | Opstaande haarlok
MOUT | Grondstof voor bier
RITE | Vaststaande
TERP | Oude vluchtheuvel
